Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.33 [1.75-3.09],0.002,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
Glu,2.02 [1.70-2.39],1.349e-10,***,Glucose
Glu-lactate,2.01 [1.73-2.34],1.361e-14,***,Glucose-lactate
S-VLDL-TG%,2.00 [1.63-2.47],2.225e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.97 [1.61-2.40],1.366e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.95 [1.61-2.35],1.660e-06,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.85 [1.56-2.20],6.472e-07,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.77 [1.49-2.09],1.053e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.72 [1.46-2.03],3.402e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.59 [1.35-1.87],0.008,**,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-FC%,0.70 [0.62-0.80],0.046,*,Free Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.69 [0.61-0.77],9.976e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.63 [0.54-0.73],4.659e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.63 [0.55-0.72],3.837e-06,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-C%,0.63 [0.54-0.73],2.234e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.62 [0.54-0.72],1.086e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-CE%,0.62 [0.53-0.73],7.322e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-CE%,0.62 [0.54-0.72],5.065e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.62 [0.54-0.71],5.458e-06,***,Cholesterol to Total-Lipids in IDL percentage
LDL-L,0.61 [0.51-0.73],0.014,*,Total-Lipids in LDL
S-LDL-C%,0.61 [0.52-0.71],2.247e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-CE,0.61 [0.51-0.73],0.022,*,Cholesteryl Esters in LDL
M-VLDL-FC%,0.60 [0.52-0.70],2.265e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,0.60 [0.50-0.73],0.036,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
LDL-C,0.60 [0.50-0.71],0.004,**,LDL Cholesterol
M-VLDL-PL%,0.60 [0.52-0.69],1.502e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-L,0.59 [0.50-0.71],0.005,**,Total-Lipids in Large LDL
ApoB,0.59 [0.49-0.72],0.023,*,Apolipoprotein B
Non-HDL-C,0.59 [0.50-0.71],0.001,**,Total-Cholesterol Minus HDL-C
L-LDL-CE,0.59 [0.49-0.71],0.011,*,Cholesteryl Esters in Large LDL
S-VLDL-C%,0.59 [0.50-0.69],1.068e-05,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-C,0.59 [0.48-0.71],0.033,*,Cholesterol in Small LDL
Remnant-C,0.59 [0.49-0.70],0.002,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.59 [0.49-0.70],4.395e-04,***,Total-Cholesterol
LDL-PL,0.59 [0.48-0.71],0.008,**,Phospholipids in LDL
XS-VLDL-CE%,0.58 [0.50-0.68],2.536e-07,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.58 [0.50-0.68],5.642e-07,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-CE,0.58 [0.49-0.69],4.073e-04,***,Total-Esterified Cholesterol
L-LDL-C,0.58 [0.48-0.70],0.002,**,Cholesterol in Large LDL
