Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Leu,1.02 [0.98-1.06],1.000,,Leucine
Total-BCAA,1.02 [0.97-1.06],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Tyr,1.01 [0.97-1.05],1.000,,Tyrosine
Ile,1.01 [0.97-1.05],1.000,,Isoleucine
M-LDL-FC%,1.00 [0.96-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,1.00 [0.95-1.05],1.000,,Cholesteryl Esters in HDL
Total-C,0.98 [0.94-1.02],1.000,,Total-Cholesterol
VLDL-C,0.98 [0.94-1.02],1.000,,VLDL Cholesterol
Remnant-C,0.98 [0.94-1.02],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-PL%,0.97 [0.93-1.01],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
