Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.24 [1.19-1.31],2.949e-13,***,Glycoprotein Acetyls
M-LDL-TG%,1.09 [1.04-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-C,1.03 [0.99-1.08],1.000,,VLDL Cholesterol
Remnant-C,1.01 [0.97-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,1.01 [0.97-1.06],1.000,,Total-Cholesterol
Clinical LDL-C,0.99 [0.95-1.04],1.000,,Clinical LDL Cholesterol
Val,0.96 [0.92-1.01],1.000,,Valine
Total-BCAA,0.96 [0.92-1.01],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-FC%,0.91 [0.87-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.89 [0.85-0.94],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
