Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Ala,1.08 [0.96-1.22],1.000,,Alanine
L-VLDL-TG%,1.04 [0.92-1.18],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-HDL-CE%,1.02 [0.90-1.15],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,1.01 [0.89-1.15],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,1.00 [0.89-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.99 [0.86-1.13],1.000,,HDL Cholesterol
LDL-C,0.96 [0.85-1.08],1.000,,LDL Cholesterol
Non-HDL-C,0.94 [0.84-1.06],1.000,,Total-Cholesterol Minus HDL-C
M-VLDL-C%,0.94 [0.83-1.05],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Remnant-C,0.92 [0.82-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
