Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.07 [0.97-1.18],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.05 [0.95-1.16],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.05 [0.95-1.16],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.02 [0.93-1.12],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.01 [0.92-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,1.00 [0.91-1.10],1.000,,VLDL Cholesterol
Remnant-C,0.98 [0.89-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.97 [0.88-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,0.95 [0.86-1.04],1.000,,Total-Cholesterol
HDL-CE,0.92 [0.83-1.02],1.000,,Cholesteryl Esters in HDL
