Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.20 [1.12-1.30],0.459,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.19 [1.11-1.28],0.637,,Glycoprotein Acetyls
L-LDL-TG%,1.19 [1.11-1.27],0.486,,Triglycerides to Total-Lipids in Large LDL percentage
Omega-6/Omega-3,1.10 [1.02-1.18],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Gly,1.04 [0.97-1.13],1.000,,Glycine
L-LDL-C%,0.84 [0.79-0.90],0.366,,Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,0.84 [0.79-0.90],0.551,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Albumin,0.84 [0.78-0.90],0.140,,Albumin
PUFA/MUFA,0.83 [0.77-0.89],0.173,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,0.82 [0.76-0.88],0.028,*,Degree of Unsaturation
