Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.09 [1.00-1.19],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.06 [0.97-1.16],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.05 [0.95-1.15],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-TG%,1.04 [0.95-1.14],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.03 [0.94-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.96 [0.88-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.95 [0.87-1.04],1.000,,VLDL Cholesterol
Remnant-C,0.94 [0.86-1.02],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.93 [0.85-1.02],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.93 [0.85-1.01],1.000,,Total-Cholesterol
