Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.39 [1.26-1.53],2.364e-05,***,Glycoprotein Acetyls
Phe,1.16 [1.06-1.28],1.000,,Phenylalanine
M-LDL-TG%,1.12 [1.02-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-CE%,1.02 [0.93-1.13],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
ApoA1,1.01 [0.91-1.12],1.000,,Apolipoprotein A1
VLDL-C,0.99 [0.90-1.09],1.000,,VLDL Cholesterol
HDL-CE,0.98 [0.88-1.09],1.000,,Cholesteryl Esters in HDL
Total-CE,0.95 [0.86-1.05],1.000,,Total-Esterified Cholesterol
LDL-CE,0.94 [0.85-1.03],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.92 [0.83-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
