Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_ACUTEUPPERINFEC,241,0.349 [0.317-0.38],1.258e-96,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
J10_INFLUPNEU,534,0.268 [0.244-0.29],7.350e-105,***,Influenza and pneumonia,Respiratory
J10_UPPERINFEC,1002,0.259 [0.244-0.27],8.563e-249,***,Acute upper respiratory infections,Respiratory
AB1_OTHER_BACTERIAL,478,0.258 [0.234-0.28],6.623e-97,***,Other bacterial diseases,Infectious and parasitic
CD2_BENIGN_COLON_NOS,212,0.243 [0.179-0.31],1.709e-08,***,"Benign neoplasm: Colon, unspecified",Neoplasms
E4_LIPOPROTNAS,242,0.212 [0.189-0.23],7.794e-69,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
KRA_PSY_ANYMENTAL,2504,0.157 [0.148-0.17],7.935e-233,***,Any mental disorder,Mental and behavioural
E4_HYPERLIPNAS,1251,0.155 [0.141-0.17],2.527e-105,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
H8_EXTERNAL,828,0.149 [0.144-0.15],1.000e-315,***,Diseases of external ear,Ear and mastoid
O15_DELIV_CAESAR,82,0.140 [0.127-0.15],3.681e-96,***,Single delivery by caesarean section,Pregnancy
O15_MATERN_CARE_OTHER,240,0.135 [0.127-0.14],1.402e-225,***,Maternal care for other known or suspected fetal problems,Pregnancy
M13_OSTEOCHONDRO,166,0.134 [0.110-0.16],1.832e-21,***,Osteopathies and chondropathies,Musculoskeletal
N14_MALEGEN,1375,0.130 [0.123-0.14],4.568e-297,***,Diseases of male genital organs,Genitourinary
N14_URETHRAOTH,610,0.128 [0.121-0.14],1.179e-260,***,Other disorders of urethra and urinary system,Genitourinary
E4_FH,518,0.123 [0.107-0.14],2.993e-46,***,Familial hypercholesterolemia,Endocrine and metabolic
O15_MATERN_CARE_PELVIC_ABNORM,86,0.122 [0.110-0.13],2.056e-81,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
J10_UPPERDIS,4085,0.116 [0.108-0.13],4.600e-146,***,Other diseases of upper respiratory tract,Respiratory
N14_URINOTH,1485,0.110 [0.102-0.12],2.286e-149,***,Other diseases of urinary system,Genitourinary
L12_INFECT_SKIN,518,0.104 [0.087-0.12],1.862e-30,***,Infections of the skin and subcutaneous tissue,Skin
H7_VITRBODYGLOBE,276,0.100 [0.086-0.11],1.064e-40,***,Disorders of vitreous body,Eye and adnexa
I9_POSTAMI,149,0.099 [0.078-0.12],1.198e-13,***,Status post-ami,Circulatory
PD_DEMENTIA,12,0.098 [0.065-0.13],0.003,**,Dementia due to Parkinson's disease,Mental and behavioural
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.093 [0.087-0.10],4.269e-165,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
H8_EXTOTITIS,1164,0.090 [0.085-0.09],1.596e-300,***,Otitis externa,Ear and mastoid
M13_SYNOTEND,1267,0.088 [0.078-0.10],2.281e-55,***,Disorders of synovium and tendon,Musculoskeletal
M13_LIMBPAIN,197,0.085 [0.071-0.10],2.123e-28,***,Pain in limb,Musculoskeletal
M13_ARTHROPATHIES,7062,0.083 [0.077-0.09],1.633e-173,***,Arthropathies,Musculoskeletal
CD2_BENIGN_COLORECANI,1443,0.082 [0.064-0.10],9.610e-14,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
E4_LIPOPROT,7076,0.082 [0.072-0.09],2.613e-50,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
E4_METABOLIA,4834,0.080 [0.067-0.09],1.498e-27,***,Metabolic disorders,Endocrine and metabolic
F5_DEPRESSIO,2165,0.079 [0.074-0.08],3.536e-180,***,Depression,Mental and behavioural
O15_PRETERM,17,0.076 [0.055-0.10],6.652e-07,***,Preterm labour and delivery,Pregnancy
L12_CORNSANDCALLOS,491,0.076 [0.073-0.08],1.000e-315,***,Corns and callosities,Skin
ASTHMA_NAS,3913,0.076 [0.072-0.08],3.033e-271,***,"Asthma, unspecified (mode)",Respiratory
L12_DISORDSKINAPPENDIX,424,0.075 [0.063-0.09],5.892e-30,***,Disorders of skin appendages,Skin
N14_PROSTHYPERPLA,3795,0.074 [0.071-0.08],1.000e-315,***,Hyperplasia of prostate,Genitourinary
AB1_BACT_INTEST_OTH,357,0.073 [0.067-0.08],9.296e-113,***,Other bacterial intestinal infections,Infectious and parasitic
I9_ARTOTH,187,0.071 [0.067-0.08],1.185e-225,***,Other diseases of arteries and capillaries,Circulatory
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.070 [0.062-0.08],7.035e-70,***,Viral and other specified intestinal infections,Infectious and parasitic
K11_PANCOTH,29,0.069 [0.059-0.08],8.349e-34,***,Other diseases of pancreas,Digestive
O15_PREG_OTHER_MAT_DISORD,1961,0.069 [0.061-0.08],3.523e-62,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
N14_PYELONEPHR,67,0.068 [0.052-0.08],8.135e-12,***,Acute tubulo-interstitial nephritis,Genitourinary
CD2_BENIGN_OTHERDIGESTIVE,74,0.066 [0.051-0.08],2.098e-12,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
L12_ABSCESS_CUT,66,0.065 [0.053-0.08],5.529e-22,***,"Cutaneous abscess, furuncle and carbuncle",Skin
H7_CHALAZION,671,0.065 [0.059-0.07],8.094e-90,***,Chalazion,Eye and adnexa
M13_OSTEOPOROSIS,372,0.065 [0.057-0.07],1.581e-52,***,Osteoporosis,Musculoskeletal
G6_XTRAPYR,48,0.065 [0.049-0.08],8.786e-11,***,Extrapyramidal and movement disorders,Nervous
E4_ENDOGLAND,62,0.062 [0.045-0.08],5.995e-07,***,Disorders of other endocrine glands,Endocrine and metabolic
J10_CHRONSINUSITIS,3550,0.062 [0.058-0.07],8.186e-249,***,Chronic sinusitis,Respiratory
M13_MENISCUSDERANGEMENTS,937,0.061 [0.049-0.07],3.896e-18,***,Meniscus derangement,Musculoskeletal
N14_CYSTITIS,693,0.059 [0.050-0.07],1.723e-31,***,Cystitis,Genitourinary
O15_ABORT_MEDICAL,68,0.057 [0.036-0.08],0.047,*,Medical abortion,Pregnancy
K11_CHRONGASTR,210,0.057 [0.049-0.07],3.635e-41,***,Chronic gastritis,Digestive
K11_PERITONITIS,161,0.056 [0.053-0.06],1.310e-236,***,Acute peritonitis,Digestive
G6_POLYOTHUNS,107,0.055 [0.040-0.07],1.436e-07,***,"Other and unspecified polyneuropathies, also in other diseases",Nervous
M13_TENDOSYNOVITISNAS,236,0.052 [0.041-0.06],1.223e-16,***,Other/unspecified synovitis and tenosynovitis,Musculoskeletal
I9_PHLETHROMBDVTLOW,3263,0.050 [0.046-0.05],9.641e-127,***,DVT of lower extremities,Circulatory
K11_CHRONPANC,105,0.049 [0.044-0.05],4.599e-69,***,Chronic pancreatitis,Digestive
J10_CHRONTONSADEN,5827,0.043 [0.039-0.05],1.072e-80,***,Chronic diseases of tonsils and adenoids,Respiratory
ALLERG_RHINITIS,746,0.043 [0.039-0.05],4.570e-92,***,Allergic rhinitis,Respiratory
E4_OBESITYXTRMALV,103,0.041 [0.037-0.05],9.952e-59,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
N14_EROSECTROPUT,31,0.041 [0.035-0.05],2.703e-38,***,Erosion and ectropion of cervix uteri,Genitourinary
I9_VTE,4388,0.041 [0.035-0.05],2.714e-33,***,Venous thromboembolism,Circulatory
L12_PILONIDALCYST,217,0.040 [0.035-0.05],6.116e-41,***,Pilonidal cyst,Skin
F5_CANNABIS,7,0.039 [0.028-0.05],7.661e-06,***,Mental and behavioural disorders due to cannabinoids,Mental and behavioural
N14_PHIMOSIS,4306,0.039 [0.037-0.04],1.000e-315,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
I9_UAP,1483,0.039 [0.030-0.05],1.796e-14,***,Unstable angina pectoris,Circulatory
H8_HL_PRESBY,136,0.038 [0.033-0.04],4.454e-43,***,Presbycusis,Ear and mastoid
F5_DEMENTIA,3309,0.038 [0.034-0.04],5.070e-68,***,Dementia,Mental and behavioural
J10_PERITONSABSC,1910,0.037 [0.032-0.04],1.079e-43,***,Peritonsillar abscess,Respiratory
M13_DORSALGIANAS,1009,0.037 [0.031-0.04],4.316e-28,***,Other/unspecified dorsalgia,Musculoskeletal
G6_PARKINSON,2693,0.036 [0.035-0.04],1.000e-315,***,Parkinson's disease,Nervous
KRA_PSY_DEMENTIA,2863,0.035 [0.031-0.04],1.930e-51,***,Any dementia,Mental and behavioural
G6_SLEEPAPNO,1870,0.035 [0.028-0.04],1.753e-16,***,Sleep apnoea,Nervous
G6_NEURODEGENERATIVE,4070,0.034 [0.031-0.04],1.014e-92,***,Unspecific neurodegenerative disorder,Nervous
M13_SCIATICA,658,0.034 [0.027-0.04],2.272e-16,***,Sciatica+with lumbago,Musculoskeletal
G6_HYDROCEPH,204,0.034 [0.029-0.04],1.533e-35,***,Hydrocephalus,Nervous
M13_HALLUXRIGIDUS,40,0.033 [0.023-0.04],1.481e-04,***,Hallux rigidus,Musculoskeletal
M13_LOWBACKPAIN,1988,0.033 [0.027-0.04],8.276e-22,***,Low back pain,Musculoskeletal
M13_DORSOPATHY,8797,0.032 [0.028-0.04],2.651e-46,***,Dorsopathies,Musculoskeletal
H7_KERATITIS,1243,0.031 [0.026-0.04],1.242e-28,***,Keratitis,Eye and adnexa
G6_ALZHEIMER,2982,0.031 [0.027-0.03],6.790e-61,***,Alzheimer disease,Nervous
AUD,259,0.030 [0.023-0.04],3.979e-13,***,"Alcohol use disorder, ICD-based",Mental and behavioural
AB1_VIRAL_WARTS,3425,0.029 [0.027-0.03],1.000e-315,***,Viral warts,Infectious and parasitic
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.027 [0.023-0.03],5.472e-35,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
N14_OTHPENIS,232,0.027 [0.022-0.03],3.019e-21,***,Other disorders of penis,Genitourinary
AD_AM,451,0.027 [0.019-0.03],1.410e-06,***,Alzheimer disease (Atypical or mixed),Nervous
C_DIFFICILE_ENTEROCOLITIS,2693,0.026 [0.025-0.03],1.212e-216,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
H8_OTHEREAR,3939,0.026 [0.021-0.03],1.406e-16,***,Other disorders of ear,Ear and mastoid
M13_GIANTCELL,1909,0.026 [0.024-0.03],4.050e-232,***,Giant cell arteritis,Musculoskeletal
CD2_INSITU_CERVIX_UTERI,1636,0.026 [0.024-0.03],2.967e-155,***,Carcinoma in situ of cervix uteri,Neoplasms
F5_ALZHDEMENT,2076,0.026 [0.022-0.03],7.061e-36,***,Dementia in Alzheimer disease,Mental and behavioural
H7_GLAUCNAS,69,0.026 [0.021-0.03],2.958e-17,***,Other and unspecified glaucoma,Eye and adnexa
M13_PYOGARTH,525,0.026 [0.023-0.03],5.693e-85,***,Pyogenic arthritis,Musculoskeletal
CD2_INSITU_BLADDER,34,0.025 [0.020-0.03],3.267e-16,***,"Carcinoma in situ, bladder",Neoplasms
M13_POLYARTHROPATHIES,18752,0.025 [0.024-0.03],1.000e-315,***,Polyarthropathies,Musculoskeletal
POLLENALLERG,487,0.025 [0.021-0.03],1.045e-30,***,Pollen allergy,Respiratory
M13_POLYMYALGIA,4532,0.024 [0.023-0.03],1.835e-218,***,Polymyalgia rheumatica,Musculoskeletal
J10_NASALPOLYP,7370,0.024 [0.023-0.03],1.822e-279,***,Nasal polyp,Respiratory
M13_DORSOPATHYOTH,5393,0.024 [0.018-0.03],1.119e-10,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
L12_PAPULOSQUAMOUS,16405,0.023 [0.022-0.02],1.000e-315,***,Papulosquamous disorders,Skin
IPF,3405,0.023 [0.022-0.02],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
K11_OTHANRECT,204,0.022 [0.014-0.03],0.041,*,Other diseases of anus and rectum,Digestive
M13_THORACISPINEPAIN,151,0.021 [0.014-0.03],0.005,**,Pain in thoracic spine,Musculoskeletal
I9_AVBLOCK,403,0.021 [0.015-0.03],1.780e-08,***,AV-block,Circulatory
G6_XTRAPYROTH,275,0.020 [0.014-0.03],1.331e-05,***,Other extrapyramidal and movement disorders in other diseases,Nervous
M13_CERVICALGIA,179,0.020 [0.014-0.03],4.854e-05,***,Cervicalgia,Musculoskeletal
K11_APPENDACUT,1379,0.020 [0.015-0.03],3.387e-07,***,Acute appendicitis,Digestive
L12_PSORIASIS,18203,0.020 [0.019-0.02],1.000e-315,***,Psoriasis,Skin
M13_HALLUXVALGUS,3980,0.020 [0.017-0.02],2.253e-34,***,Hallux valgus (acquired),Musculoskeletal
N14_DIALYSIS,1620,0.019 [0.018-0.02],3.049e-86,***,Dialysis,Genitourinary
CD2_BENIGN_THYROID,151,0.019 [0.017-0.02],3.758e-51,***,Benign neoplasm of thyroid gland,Neoplasms
DM_NEOVASCULAR_GLAUCOMA,434,0.019 [0.016-0.02],1.994e-22,***,Neovascular glaucoma,Eye and adnexa
L12_PSORI_VULG,15019,0.019 [0.019-0.02],1.000e-315,***,Psoriasis vulgaris,Skin
M13_PSORIARTH,11111,0.019 [0.018-0.02],1.000e-315,***,Psoriatic arthropathies,Musculoskeletal
M13_SPONDYLOPATHY,12014,0.018 [0.017-0.02],4.079e-88,***,Spondylopathies,Musculoskeletal
M13_SPONDYLOSIS,854,0.018 [0.012-0.02],6.753e-04,***,Spondylosis,Musculoskeletal
D3_OTHERBLOOD,428,0.018 [0.016-0.02],2.637e-73,***,Other diseases of blood and blood-forming organs,Blood and immune
F5_MENTALUNSPE,114,0.017 [0.012-0.02],3.960e-06,***,"Mental disorders, not otherwise specified",Mental and behavioural
H8_EXT_NAS,170,0.017 [0.012-0.02],3.328e-06,***,"Otitis externa, unspecified",Ear and mastoid
RHEUMA_OTHER_WIDE,12512,0.017 [0.016-0.02],1.000e-315,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
L12_PSORI_NAS,8866,0.017 [0.016-0.02],1.000e-315,***,Other and unspecified psoriasis,Skin
I9_VARICVE,10262,0.017 [0.015-0.02],9.371e-48,***,Varicose veins,Circulatory
M13_POLYARTHRITIS,1672,0.016 [0.015-0.02],1.426e-99,***,"Polyarthritis, unspecified",Musculoskeletal
H7_OCUPAIN,174,0.016 [0.012-0.02],1.622e-06,***,Ocular pain,Eye and adnexa
RHEUMA_SERONEG,8327,0.016 [0.015-0.02],2.680e-214,***,Seronegative rheumatoid arthritis,Musculoskeletal
M13_RHEUMA,20944,0.016 [0.015-0.02],1.000e-315,***,Rheumatoid arthritis,Musculoskeletal
L12_ATROPHICSKIN,3167,0.014 [0.012-0.02],1.262e-35,***,Atrophic disorders of skin,Skin
RHEUMA_NOS,13051,0.014 [0.013-0.01],1.000e-315,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
M13_CRYSTALARTH,168,0.014 [0.012-0.02],1.359e-30,***,Other crystal arthropathies,Musculoskeletal
RHEUMA_SEROPOS_WIDE,21443,0.014 [0.013-0.01],1.000e-315,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
H7_IRIDONAS,4666,0.013 [0.013-0.01],1.204e-236,***,Other and unspecified iridocyclitis,Eye and adnexa
H7_SCLERACORNEA,15425,0.013 [0.012-0.01],3.467e-90,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
E4_LACTONAS,2420,0.013 [0.012-0.01],9.236e-270,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
C3_ANUS_ANALCANAL,76,0.012 [0.009-0.02],5.735e-08,***,Malignant neoplasm of anus and anal canal,Neoplasms
K11_FIBROCHIRLIV,942,0.012 [0.010-0.01],4.056e-13,***,Fibrosis and cirrhosis of liver,Digestive
NEURODEGOTH,4178,0.012 [0.008-0.02],2.219e-05,***,Other degenerative diseases of the nervous system,Nervous
I9_THAORTANEUR,1182,0.012 [0.010-0.01],2.423e-35,***,Thoracic aortic aneurysm,Circulatory
J10_PNEUMONONBACT,76,0.011 [0.008-0.02],2.173e-04,***,"Pneumonia due to other infectious organisms, not elsewhere classified",Respiratory
H8_HL_SEN_NAS,5357,0.011 [0.008-0.01],1.668e-04,***,Sensorineural hearing loss,Ear and mastoid
G6_CEROEDEMA,11,0.011 [0.008-0.01],1.480e-04,***,Cerebral oedema,Nervous
M13_SYSTSLCE,1075,0.011 [0.009-0.01],2.013e-31,***,Systemic sclerosis,Musculoskeletal
L12_DERMATITISECZEMA,8563,0.011 [0.007-0.01],2.645e-04,***,Dermatitis and eczema,Skin
G6_MYONEU,229,0.011 [0.007-0.01],0.017,*,Diseases of the myoneural junction and muscle,Nervous
C3_CERVIX_UTERI,81,0.011 [0.007-0.01],2.294e-04,***,Malignant neoplasm of cervix uteri,Neoplasms
AMN2,162,0.011 [0.007-0.01],0.025,*,Transient global amnesia,Nervous
L12_LICHENSIMPLEX,206,0.011 [0.008-0.01],1.573e-09,***,Lichen simplex chronicus,Skin
N14_FEMALE_GENITAL_HSIL,6550,0.010 [0.009-0.01],1.403e-44,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
I9_AORTANEUR,1277,0.010 [0.007-0.01],8.123e-07,***,Aortic aneurysm,Circulatory
N14_CERVICAL_HSIL,5964,0.010 [0.009-0.01],4.319e-42,***,HSIL lesion of the cervix uteri,Genitourinary
O15_MATERN_HYPERT_UNS,90,0.010 [0.007-0.01],5.101e-13,***,Unspecified maternal hypertension,Pregnancy
I9_PHLETHROM,1192,0.009 [0.007-0.01],1.329e-17,***,Phlebitis and thrombophlebitis (not including DVT),Circulatory
H7_ENTROPION,903,0.009 [0.007-0.01],1.087e-13,***,Entropion and trichiasis of eyelid,Eye and adnexa
O15_PLAC_DISORD,65,0.008 [0.005-0.01],0.008,**,Placental disorders,Pregnancy
M13_SPINSTENOSIS,4505,0.008 [0.005-0.01],4.216e-04,***,Spinal stenosis,Musculoskeletal
H7_IRIDOCYCLITIS,22983,0.007 [0.007-0.01],2.654e-179,***,Iridocyclitis,Eye and adnexa
H7_OPTNERVE,2671,0.007 [0.006-0.01],1.516e-14,***,Disorders of optic nerve and visual pathways,Eye and adnexa
H7_DIVERGSTRAB,291,0.007 [0.004-0.01],0.030,*,Divergent concomitant strabismus,Eye and adnexa
CHRONMYELOPRO,471,0.006 [0.006-0.01],1.136e-71,***,Chronic myeloproliferative disease,Neoplasms
I9_THROMBOTH,852,0.006 [0.005-0.01],5.098e-08,***,Other embolism and thrombosis,Circulatory
CD2_FOLLICULAR_LYMPHOMA,5808,0.006 [0.005-0.01],1.526e-59,***,"Follicular lymphoma, hilmo",Neoplasms
THROMBOCYTAEMIA,728,0.006 [0.005-0.01],7.734e-38,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
N14_CERVICAL_DYSPLASIA_ALL,5631,0.005 [0.004-0.01],1.830e-04,***,All dysplastic lesions of the cervix uteri,Genitourinary
SPONDYLOARTHRITIS,25038,0.005 [0.005-0.01],1.311e-155,***,Spondyloarthritis,Musculoskeletal
M13_SPONDYLINFLAMNAS,14599,0.005 [0.004-0.00],2.241e-149,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
L12_LICHENSCLERATROPH,5062,0.005 [0.003-0.01],1.889e-09,***,Lichen sclerosus et atrophicus,Skin
D3_COAGOTHER,2573,0.005 [0.004-0.01],1.099e-47,***,Other coagulation defects,Blood and immune
H7_DISORDERLENSNAS,160,0.004 [0.003-0.01],1.023e-06,***,Other specified and unspecified disorders of lens,Eye and adnexa
POLYCYTVERA,838,0.004 [0.003-0.00],8.984e-55,***,Polycythaemia vera,Neoplasms
N14_GLOMEINOTH,5455,0.003 [0.002-0.00],0.046,*,Glomerular disorders in diseases classified elsewhere,Genitourinary
M13_ANKYLOSPON,29005,0.003 [0.003-0.00],8.594e-151,***,Ankylosing spondylitis,Musculoskeletal
E4_PORBILIR,370,0.002 [0.002-0.00],5.978e-04,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
D3_HEREDOTHCLOFACTORS,1113,0.002 [0.001-0.00],3.705e-07,***,Hereditary deficiency of other clotting factors,Blood and immune
D3_COAGDEFNAS,3630,0.002 [0.001-0.00],4.326e-05,***,Other and unspecified coagulation defects,Blood and immune
I9_HYPERTROCARDMYOP,483,-0.002 [-0.002--0.00],0.007,**,Hypertrophic cardiomyopathy,Circulatory
G6_MS,12132,-0.002 [-0.002--0.00],5.144e-09,***,MS-disease / Multiple Sclerosis,Nervous
H7_KERATOCONUS,1133,-0.003 [-0.004--0.00],5.450e-05,***,Hereditary corneal dystrophies,Eye and adnexa
E4_IRON_MET,3833,-0.003 [-0.003--0.00],2.478e-101,***,Disorders of iron metabolism,Endocrine and metabolic
CHIRBIL_PRIM,2402,-0.003 [-0.004--0.00],6.625e-05,***,Primary biliary cholangitis (PBC),Digestive
C3_BASAL_CELL_CARCINOMA,10907,-0.004 [-0.005--0.00],0.010,*,Basal cell carcinoma,Neoplasms
C3_HEPATOCELLU_CARC,441,-0.006 [-0.007--0.00],1.455e-11,***,Hepatocellular carcinoma,Neoplasms
E4_GLUCOPANCREAS,8980,-0.006 [-0.007--0.01],7.236e-40,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,-0.006 [-0.008--0.00],2.932e-06,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
CD2_BENIGN_LEIOMYOMA_UTERI,9079,-0.006 [-0.008--0.00],8.392e-10,***,Leiomyoma of uterus,Neoplasms
H8_OTOSCLE,2888,-0.006 [-0.007--0.01],5.801e-28,***,Otosclerosis,Ear and mastoid
H7_GLAUCOMA_NTG,563,-0.006 [-0.008--0.00],6.221e-12,***,Normotensive glaucoma,Eye and adnexa
I9_VARICVEOES,203,-0.006 [-0.009--0.00],0.007,**,Oesophageal varices,Circulatory
K11_COELIAC,42111,-0.007 [-0.007--0.01],1.000e-315,***,Coeliac disease,Digestive
C3_OTHER_SKIN,9911,-0.008 [-0.009--0.01],2.000e-13,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
E4_GOITRENAS,1714,-0.008 [-0.009--0.01],4.780e-61,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
L12_ACTINKERA,6785,-0.008 [-0.010--0.01],3.306e-17,***,Actinic keratosis,Skin
H7_HEREDRETINADYST,308,-0.008 [-0.010--0.01],2.024e-19,***,Hereditary retinal dystrophy,Eye and adnexa
DM_NEPHROPATHY,7402,-0.008 [-0.010--0.01],8.181e-39,***,Diabetic nephropathy,Genitourinary
K11_UMBHER,2034,-0.008 [-0.011--0.01],5.141e-06,***,Umbilical hernia,Digestive
NAFLD,505,-0.009 [-0.012--0.01],0.003,**,Nonalcoholic fatty liver disease,Digestive
E4_GOITRENOD,331,-0.009 [-0.012--0.01],4.004e-05,***,Nontoxic single thyroid nodule,Endocrine and metabolic
N14_CERVICAL_LSIL,1187,-0.009 [-0.012--0.01],3.511e-08,***,LSIL lesion of the cervix uteri,Genitourinary
E4_THYROIDNASOTH,177,-0.009 [-0.011--0.01],4.845e-20,***,"Disorder of thyroid, unspecified",Endocrine and metabolic
PRIM_COXARTHROSIS,939,-0.010 [-0.013--0.01],2.167e-06,***,"Primary coxarthrosis, bilateral",Musculoskeletal
K11_HERING,7336,-0.011 [-0.013--0.01],1.256e-15,***,Inguinal hernia,Digestive
N14_OVARYCYST,986,-0.011 [-0.015--0.01],0.028,*,Ovarian cyst,Genitourinary
H8_TINNITUS,193,-0.011 [-0.014--0.01],5.733e-05,***,Tinnitus,Ear and mastoid
M13_INTERVERTEB,3685,-0.011 [-0.015--0.01],0.019,*,Other intervertebral disc disorders,Musculoskeletal
J10_EMPHYSEMA,365,-0.012 [-0.014--0.01],3.743e-15,***,Emphysema,Respiratory
I9_SECONDRIGHT,127,-0.012 [-0.016--0.01],0.043,*,Secondary right heart disease,Circulatory
CD2_INSITU_BREAST_INTRADUCTAL,179,-0.012 [-0.016--0.01],9.175e-06,***,"Carcinoma in situ of breast, intraductal",Neoplasms
COPD_EARLY,512,-0.013 [-0.016--0.01],5.589e-23,***,Early onset COPD,Respiratory
HYPOTE_DRUGS,103,-0.013 [-0.017--0.01],2.989e-05,***,Hypotension due to drugs,Circulatory
E4_THYROID,25555,-0.014 [-0.015--0.01],3.087e-60,***,Disorders of the thyroid gland,Endocrine and metabolic
