Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.571 [0.547-0.60],1.000e-315,***,Other diseases of the digestive system,Digestive
N14_CYSTITIS,693,0.498 [0.466-0.53],2.157e-204,***,Cystitis,Genitourinary
MEMLOSS,48,0.446 [0.326-0.57],6.428e-08,***,Memory loss,Mental and behavioural
E4_LIPOPROTNAS,242,0.440 [0.371-0.51],3.703e-31,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
E4_HYPERLIPNAS,1251,0.410 [0.375-0.44],5.411e-113,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
N14_URINOTH,1485,0.347 [0.322-0.37],6.649e-160,***,Other diseases of urinary system,Genitourinary
E4_FH,518,0.333 [0.294-0.37],3.805e-56,***,Familial hypercholesterolemia,Endocrine and metabolic
E4_METABOLIA,4834,0.299 [0.274-0.32],4.206e-121,***,Metabolic disorders,Endocrine and metabolic
I9_POSTAMI,149,0.291 [0.232-0.35],1.275e-16,***,Status post-ami,Circulatory
VD_U,43,0.265 [0.198-0.33],3.050e-09,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.263 [0.189-0.34],7.941e-07,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
F5_DELIRIUM,173,0.225 [0.174-0.28],8.585e-13,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
E4_LIPOPROT,7076,0.218 [0.202-0.23],4.745e-145,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
AB1_BACT_INTEST_OTH,357,0.217 [0.212-0.22],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
F5_VASCDEM,107,0.206 [0.151-0.26],2.576e-08,***,Vascular dementia,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.180 [0.161-0.20],3.536e-70,***,Any mental disorder,Mental and behavioural
J10_ACUTEUPPERINFEC,241,0.153 [0.118-0.19],8.038e-12,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
C_DIFFICILE_ENTEROCOLITIS,2693,0.137 [0.133-0.14],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
J10_INFLUPNEU,534,0.121 [0.106-0.14],3.333e-54,***,Influenza and pneumonia,Respiratory
I9_UAP,1483,0.119 [0.099-0.14],3.333e-26,***,Unstable angina pectoris,Circulatory
AD_AM,451,0.112 [0.093-0.13],1.323e-24,***,Alzheimer disease (Atypical or mixed),Nervous
K11_HAEMORR,329,0.108 [0.086-0.13],4.289e-17,***,Haemorrhoids and perianal venous thrombosis,Digestive
N14_MALEGEN,1375,0.105 [0.097-0.11],7.997e-144,***,Diseases of male genital organs,Genitourinary
CD2_BENIGN_COLON_NOS,212,0.101 [0.064-0.14],0.017,*,"Benign neoplasm: Colon, unspecified",Neoplasms
NEURODEGOTH,4178,0.098 [0.091-0.10],4.911e-156,***,Other degenerative diseases of the nervous system,Nervous
F5_DEMENTIA,3309,0.097 [0.088-0.11],8.442e-93,***,Dementia,Mental and behavioural
KRA_PSY_DEMENTIA,2863,0.093 [0.084-0.10],6.539e-74,***,Any dementia,Mental and behavioural
G6_NEURODEGENERATIVE,4070,0.091 [0.084-0.10],2.012e-128,***,Unspecific neurodegenerative disorder,Nervous
N14_CHRONEPHROPATH,18,0.084 [0.073-0.09],6.032e-47,***,Chronic nephritic syndrome,Genitourinary
G6_ALZHEIMER,2982,0.078 [0.070-0.09],2.266e-80,***,Alzheimer disease,Nervous
AUD,259,0.078 [0.067-0.09],1.092e-38,***,"Alcohol use disorder, ICD-based",Mental and behavioural
H7_CHALAZION,671,0.076 [0.072-0.08],3.813e-259,***,Chalazion,Eye and adnexa
F5_ALZHDEMENT,2076,0.072 [0.063-0.08],5.213e-56,***,Dementia in Alzheimer disease,Mental and behavioural
M13_HALLUXVALGUS,3980,0.067 [0.062-0.07],1.999e-148,***,Hallux valgus (acquired),Musculoskeletal
N14_FEMALEINFERT,80,0.064 [0.049-0.08],1.332e-11,***,Female infertility,Genitourinary
CD2_BENIGN_COLORECANI,1443,0.060 [0.049-0.07],4.338e-21,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
J10_UPPERINFEC,1002,0.059 [0.038-0.08],0.007,**,Acute upper respiratory infections,Respiratory
K11_FISTULA,485,0.058 [0.053-0.06],2.360e-112,***,Colonic or urogenital fistula,Digestive
E4_ENDOGLAND,62,0.057 [0.039-0.08],3.366e-04,***,Disorders of other endocrine glands,Endocrine and metabolic
N14_PROSTHYPERPLA,3795,0.057 [0.054-0.06],4.120e-226,***,Hyperplasia of prostate,Genitourinary
K11_INTESTOTH,398,0.057 [0.044-0.07],1.207e-11,***,Other diseases of intestines,Digestive
M13_HAMMERTOE,331,0.056 [0.042-0.07],1.577e-09,***,Other hammer toe(s) (acquired),Musculoskeletal
J10_PLEURPLAGUE,310,0.055 [0.052-0.06],3.443e-300,***,Pleural plaque,Respiratory
CD2_BENIGN_THYROID,151,0.052 [0.049-0.05],1.000e-315,***,Benign neoplasm of thyroid gland,Neoplasms
J10_SEPTDEV,498,0.051 [0.041-0.06],7.642e-19,***,Deviated nasal septum,Respiratory
I9_IHD,7725,0.050 [0.040-0.06],1.562e-16,***,"Ischaemic heart disease, wide definition",Circulatory
F5_DEPRESSIO,2165,0.049 [0.043-0.06],5.135e-40,***,Depression,Mental and behavioural
L12_ROSACEANAS,82,0.046 [0.038-0.06],8.888e-20,***,Other and unspecified rosacea,Skin
I9_CHD,6392,0.046 [0.037-0.06],1.486e-15,***,Major coronary heart disease event,Circulatory
I9_ANGINA,5810,0.046 [0.036-0.06],2.886e-15,***,Angina pectoris,Circulatory
I9_CORATHER,8695,0.045 [0.038-0.05],2.811e-24,***,Coronary atherosclerosis,Circulatory
N14_FIOTHNAS,100,0.043 [0.031-0.05],3.710e-07,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
N14_PHIMOSIS,4306,0.041 [0.039-0.04],1.041e-258,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
I9_HEARTFAIL,682,0.041 [0.032-0.05],2.254e-14,***,"Heart failure, strict",Circulatory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.041 [0.036-0.05],3.549e-65,***,Melanocytic naevi of trunk,Neoplasms
CD2_BENIGN_OTHERDIGESTIVE,74,0.038 [0.027-0.05],1.151e-06,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
K11_DISORD_TEETH,111,0.037 [0.027-0.05],1.309e-07,***,Other disorders of teeth and supporting structures,Digestive
K11_HERNIA,6152,0.036 [0.033-0.04],4.719e-118,***,Hernia,Digestive
CD2_FOLLICULAR_LYMPHOMA,5808,0.034 [0.033-0.04],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
CD2_BENIGN_OVARY,144,0.033 [0.024-0.04],7.406e-09,***,Benign neoplasm of ovary,Neoplasms
J10_CHRONTONSADEN,5827,0.032 [0.027-0.04],1.326e-29,***,Chronic diseases of tonsils and adenoids,Respiratory
M13_POLYARTHRITIS,1672,0.031 [0.029-0.03],8.015e-103,***,"Polyarthritis, unspecified",Musculoskeletal
COPD_EARLY,512,0.029 [0.026-0.03],3.873e-84,***,Early onset COPD,Respiratory
CD2_INSITU_BLADDER,34,0.029 [0.023-0.04],1.946e-17,***,"Carcinoma in situ, bladder",Neoplasms
H8_EXTERNAL,828,0.029 [0.023-0.03],4.498e-17,***,Diseases of external ear,Ear and mastoid
K11_GULC,244,0.027 [0.021-0.03],1.094e-10,***,Gastric ulcer,Digestive
O15_PRE_OR_ECLAMPSIA,259,0.027 [0.018-0.04],0.002,**,Pre-eclampsia or eclampsia,Pregnancy
CD2_BENIGN_MELANOCYTIC,521,0.027 [0.022-0.03],1.173e-20,***,Melanocytic naevi,Neoplasms
E4_HYPERPIT,147,0.027 [0.022-0.03],8.558e-29,***,Hyperfunction of pituitary gland,Endocrine and metabolic
N14_OTHPENIS,232,0.026 [0.021-0.03],1.799e-15,***,Other disorders of penis,Genitourinary
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.026 [0.017-0.03],0.001,**,Viral and other specified intestinal infections,Infectious and parasitic
K11_OTHANRECT,204,0.026 [0.016-0.04],0.021,*,Other diseases of anus and rectum,Digestive
J10_EMPHYSEMA,365,0.025 [0.022-0.03],3.102e-66,***,Emphysema,Respiratory
C3_ANUS_ANALCANAL,76,0.024 [0.020-0.03],4.770e-24,***,Malignant neoplasm of anus and anal canal,Neoplasms
H7_STENOLACRI,62,0.024 [0.017-0.03],6.736e-06,***,Stenosis and insufficiency of lacrimal passages,Eye and adnexa
C3_BRONCHUS_LUNG,573,0.023 [0.020-0.03],1.859e-30,***,Malignant neoplasm of bronchus and lung,Neoplasms
O15_PREG_OTHER_MAT_DISORD,1961,0.023 [0.017-0.03],6.502e-07,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
C3_LUNG_NONSMALL,527,0.022 [0.019-0.03],3.558e-33,***,Non-small cell lung cancer,Neoplasms
M13_SYNOTEND,1267,0.022 [0.015-0.03],3.347e-04,***,Disorders of synovium and tendon,Musculoskeletal
H7_OPTNERVE,2671,0.022 [0.017-0.03],8.657e-13,***,Disorders of optic nerve and visual pathways,Eye and adnexa
K11_DIAHER,628,0.021 [0.017-0.03],1.086e-18,***,Diaphragmatic hernia,Digestive
H8_EXTOTITIS,1164,0.021 [0.015-0.03],3.699e-05,***,Otitis externa,Ear and mastoid
N14_OVARYCYST,986,0.020 [0.016-0.02],1.869e-13,***,Ovarian cyst,Genitourinary
G6_OTHDEMYEL,3560,0.020 [0.018-0.02],1.135e-110,***,Other demyelinating diseases of the central nervous system,Nervous
F5_PTSD,319,0.019 [0.015-0.02],1.884e-10,***,Post-traumatic stress disorder,Mental and behavioural
O15_GESTAT_HYPERT,476,0.019 [0.012-0.03],0.011,*,Gestational [pregnancy-induced] hypertension,Pregnancy
K11_HERING,7336,0.018 [0.016-0.02],2.105e-47,***,Inguinal hernia,Digestive
M13_POLYMYALGIA,4532,0.018 [0.016-0.02],2.681e-34,***,Polymyalgia rheumatica,Musculoskeletal
H7_GLAUCNAS,69,0.018 [0.012-0.02],0.001,**,Other and unspecified glaucoma,Eye and adnexa
C3_THYROID_GLAND,1116,0.017 [0.015-0.02],2.628e-62,***,Malignant neoplasm of thyroid gland,Neoplasms
L12_PAPULOSQUAMOUS,16405,0.016 [0.014-0.02],6.083e-83,***,Papulosquamous disorders,Skin
G6_MYONEU,229,0.015 [0.012-0.02],2.215e-12,***,Diseases of the myoneural junction and muscle,Nervous
M13_FOREIGNBODY,77,0.015 [0.010-0.02],9.195e-06,***,Residual foreign body in soft tissue,Musculoskeletal
L12_LICHENSIMPLEX,206,0.015 [0.011-0.02],6.747e-16,***,Lichen simplex chronicus,Skin
C3_OTHER_SKIN,9911,0.014 [0.011-0.02],2.008e-19,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
