Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_ACUTEUPPERINFEC,241,0.557 [0.509-0.61],1.032e-108,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_OTHER_BACTERIAL,478,0.450 [0.421-0.48],2.203e-195,***,Other bacterial diseases,Infectious and parasitic
J10_UPPERINFEC,1002,0.439 [0.417-0.46],1.000e-315,***,Acute upper respiratory infections,Respiratory
J10_INFLUPNEU,534,0.417 [0.381-0.45],1.583e-111,***,Influenza and pneumonia,Respiratory
O15_DELIV_CAESAR,82,0.262 [0.249-0.28],1.000e-315,***,Single delivery by caesarean section,Pregnancy
H8_EXTERNAL,828,0.239 [0.232-0.25],1.000e-315,***,Diseases of external ear,Ear and mastoid
O15_MATERN_CARE_OTHER,240,0.239 [0.227-0.25],1.000e-315,***,Maternal care for other known or suspected fetal problems,Pregnancy
N14_MALEGEN,1375,0.235 [0.224-0.25],1.000e-315,***,Diseases of male genital organs,Genitourinary
O15_MATERN_CARE_PELVIC_ABNORM,86,0.232 [0.213-0.25],5.007e-122,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
M13_OSTEOCHONDRO,166,0.232 [0.193-0.27],6.142e-27,***,Osteopathies and chondropathies,Musculoskeletal
KRA_PSY_ANYMENTAL,2504,0.222 [0.207-0.24],1.802e-181,***,Any mental disorder,Mental and behavioural
J10_UPPERDIS,4085,0.210 [0.198-0.22],2.385e-239,***,Other diseases of upper respiratory tract,Respiratory
H7_VITRBODYGLOBE,276,0.189 [0.170-0.21],8.784e-78,***,Disorders of vitreous body,Eye and adnexa
N14_URETHRAOTH,610,0.186 [0.176-0.20],6.107e-287,***,Other disorders of urethra and urinary system,Genitourinary
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.175 [0.165-0.18],3.336e-255,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
L12_INFECT_SKIN,518,0.167 [0.142-0.19],2.300e-33,***,Infections of the skin and subcutaneous tissue,Skin
M13_ENTESOPATHYLOW,4,0.162 [0.102-0.22],0.022,*,"Enthesopathies of lower limb, excluding foot",Musculoskeletal
N14_URINOTH,1485,0.160 [0.147-0.17],2.570e-114,***,Other diseases of urinary system,Genitourinary
M13_SYNOTEND,1267,0.157 [0.140-0.17],3.535e-69,***,Disorders of synovium and tendon,Musculoskeletal
ASTHMA_NAS,3913,0.151 [0.145-0.16],1.000e-315,***,"Asthma, unspecified (mode)",Respiratory
H8_EXTOTITIS,1164,0.140 [0.132-0.15],1.585e-277,***,Otitis externa,Ear and mastoid
L12_DISORDSKINAPPENDIX,424,0.138 [0.119-0.16],1.925e-43,***,Disorders of skin appendages,Skin
