Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.500 [0.476-0.52],1.000e-315,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.329 [0.299-0.36],1.841e-100,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
E4_HYPERLIPNAS,1251,0.233 [0.211-0.26],2.527e-90,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
G6_MIGRAINE_WITH_AURA,143,0.218 [0.206-0.23],3.001e-264,***,Migraine with aura,Nervous
E4_METABOLIA,4834,0.182 [0.166-0.20],9.811e-106,***,Metabolic disorders,Endocrine and metabolic
E4_FH,518,0.174 [0.147-0.20],1.148e-30,***,Familial hypercholesterolemia,Endocrine and metabolic
O15_PRETERM,17,0.164 [0.140-0.19],2.789e-33,***,Preterm labour and delivery,Pregnancy
I9_POSTAMI,149,0.160 [0.128-0.19],5.546e-18,***,Status post-ami,Circulatory
M13_THORACISPINEPAIN,151,0.153 [0.145-0.16],4.598e-283,***,Pain in thoracic spine,Musculoskeletal
H7_EYEOTH,57,0.141 [0.129-0.15],3.111e-100,***,Other disorders of eye and adnexa,Eye and adnexa
M13_DORSALGIANAS,1009,0.131 [0.124-0.14],5.712e-252,***,Other/unspecified dorsalgia,Musculoskeletal
CD2_BENIGN_COLON_NOS,212,0.127 [0.093-0.16],3.982e-08,***,"Benign neoplasm: Colon, unspecified",Neoplasms
M13_LOWBACKPAIN,1988,0.127 [0.119-0.13],7.555e-216,***,Low back pain,Musculoskeletal
M13_OTHERJOINT,3314,0.124 [0.116-0.13],1.846e-192,***,Other joint disorders,Musculoskeletal
K11_OESSTODUO,43,0.121 [0.086-0.16],4.009e-06,***,"Diseases of oesophagus, stomach and duodenum",Digestive
H7_CONJUNCTIVITISACUNONATOPIC,214,0.115 [0.097-0.13],2.944e-31,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
I9_UAP,1483,0.113 [0.100-0.13],6.913e-52,***,Unstable angina pectoris,Circulatory
E4_LIPOPROT,7076,0.103 [0.091-0.11],6.895e-64,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
H7_OCUPAIN,174,0.100 [0.095-0.11],1.000e-315,***,Ocular pain,Eye and adnexa
N14_RENALTUB,449,0.100 [0.091-0.11],1.609e-110,***,Renal tubulo-interstitial diseases,Genitourinary
PD_DEMENTIA,12,0.099 [0.069-0.13],2.427e-05,***,Dementia due to Parkinson's disease,Mental and behavioural
M13_ARTHROPATHIES,7062,0.098 [0.092-0.10],8.954e-260,***,Arthropathies,Musculoskeletal
M13_SOFTTISSUE,1904,0.093 [0.084-0.10],2.194e-87,***,Soft tissue disorders,Musculoskeletal
JOINTPAIN,1595,0.091 [0.083-0.10],3.112e-85,***,Pain in joint,Musculoskeletal
G6_OTHNEU,31,0.090 [0.057-0.12],0.022,*,Other neurological diseases,Nervous
K11_CHRONGASTR,210,0.089 [0.080-0.10],1.285e-83,***,Chronic gastritis,Digestive
K11_LIVER,812,0.082 [0.075-0.09],1.252e-117,***,Diseases of liver,Digestive
H7_KERATITISOTH,43,0.080 [0.059-0.10],2.234e-08,***,Other keratitis,Eye and adnexa
M13_DORSOPATHYOTH,5393,0.079 [0.073-0.09],8.246e-133,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
G6_NERPLEX,2804,0.078 [0.073-0.08],6.965e-201,***,"Nerve, nerve root and plexus disorders",Nervous
AB1_BACT_INTEST_OTH,357,0.074 [0.067-0.08],7.178e-82,***,Other bacterial intestinal infections,Infectious and parasitic
K11_DISLIVOTH,287,0.073 [0.067-0.08],1.204e-160,***,Other diseases of liver,Digestive
M13_MENISCUSDERANGEMENTS,937,0.072 [0.063-0.08],1.060e-50,***,Meniscus derangement,Musculoskeletal
L12_OTHERCONTACT,39,0.072 [0.050-0.09],1.097e-05,***,Other contact dermatitis,Skin
M13_KNEEDERANGEMENTS,6,0.072 [0.046-0.10],0.016,*,Internal derangement of knee,Musculoskeletal
I9_IHD,7725,0.070 [0.062-0.08],8.308e-56,***,"Ischaemic heart disease, wide definition",Circulatory
K11_HAEMORR,329,0.068 [0.049-0.09],2.224e-06,***,Haemorrhoids and perianal venous thrombosis,Digestive
M13_SHOULDER,206,0.064 [0.046-0.08],3.037e-07,***,Shoulder lesions,Musculoskeletal
M13_PYOGARTH,525,0.064 [0.061-0.07],1.000e-315,***,Pyogenic arthritis,Musculoskeletal
L12_DERMATITISNAS,2477,0.063 [0.059-0.07],8.974e-146,***,Dermatitis,Skin
H8_NONSUPPNAS,1145,0.062 [0.057-0.07],6.361e-116,***,Nonsuppurative otitis media,Ear and mastoid
H7_OTHIRISCILIARY,14,0.061 [0.046-0.08],1.290e-09,***,Other disorders of iris and ciliary body,Eye and adnexa
CD2_BENIGN_COLORECANI,1443,0.061 [0.051-0.07],5.859e-27,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
M13_DORSOPATHY,8797,0.060 [0.055-0.06],1.436e-136,***,Dorsopathies,Musculoskeletal
AB1_GASTROENTERITIS_NOS,923,0.059 [0.051-0.07],8.440e-45,***,Diarrhoea and gastroenteritis of presumed infectious origin,Infectious and parasitic
M13_ARTHROSIS_POLY,390,0.057 [0.049-0.06],6.660e-40,***,Polyarthrosis,Musculoskeletal
I9_CHD,6392,0.056 [0.049-0.06],7.763e-40,***,Major coronary heart disease event,Circulatory
