Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_ACUTEUPPERINFEC,241,0.436 [0.397-0.48],1.324e-98,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_OTHER_BACTERIAL,478,0.341 [0.321-0.36],2.516e-230,***,Other bacterial diseases,Infectious and parasitic
J10_UPPERINFEC,1002,0.339 [0.321-0.36],6.756e-283,***,Acute upper respiratory infections,Respiratory
J10_INFLUPNEU,534,0.335 [0.306-0.36],2.960e-111,***,Influenza and pneumonia,Respiratory
KRA_PSY_ANYMENTAL,2504,0.224 [0.213-0.23],1.000e-315,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,0.209 [0.199-0.22],1.000e-315,***,Diseases of male genital organs,Genitourinary
O15_DELIV_CAESAR,82,0.201 [0.189-0.21],1.065e-200,***,Single delivery by caesarean section,Pregnancy
H8_EXTERNAL,828,0.187 [0.181-0.19],1.000e-315,***,Diseases of external ear,Ear and mastoid
O15_MATERN_CARE_OTHER,240,0.181 [0.171-0.19],1.827e-258,***,Maternal care for other known or suspected fetal problems,Pregnancy
O15_MATERN_CARE_PELVIC_ABNORM,86,0.180 [0.165-0.20],3.731e-110,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
CD2_BENIGN_COLON_NOS,212,0.179 [0.134-0.22],3.403e-09,***,"Benign neoplasm: Colon, unspecified",Neoplasms
M13_OSTEOCHONDRO,166,0.179 [0.148-0.21],2.459e-24,***,Osteopathies and chondropathies,Musculoskeletal
N14_URINOTH,1485,0.162 [0.154-0.17],3.856e-294,***,Other diseases of urinary system,Genitourinary
J10_UPPERDIS,4085,0.154 [0.144-0.16],1.252e-190,***,Other diseases of upper respiratory tract,Respiratory
L12_INFECT_SKIN,518,0.142 [0.123-0.16],1.139e-45,***,Infections of the skin and subcutaneous tissue,Skin
N14_CYSTITIS,693,0.139 [0.127-0.15],1.465e-109,***,Cystitis,Genitourinary
N14_URETHRAOTH,610,0.138 [0.131-0.15],9.638e-293,***,Other disorders of urethra and urinary system,Genitourinary
H7_VITRBODYGLOBE,276,0.133 [0.116-0.15],8.479e-45,***,Disorders of vitreous body,Eye and adnexa
M13_SYNOTEND,1267,0.126 [0.113-0.14],7.499e-78,***,Disorders of synovium and tendon,Musculoskeletal
N14_PROSTHYPERPLA,3795,0.119 [0.115-0.12],1.000e-315,***,Hyperplasia of prostate,Genitourinary
F5_DEPRESSIO,2165,0.119 [0.111-0.13],2.707e-211,***,Depression,Mental and behavioural
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.119 [0.111-0.13],4.476e-180,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
H8_EXTOTITIS,1164,0.110 [0.104-0.12],6.044e-267,***,Otitis externa,Ear and mastoid
I9_ARTOTH,187,0.103 [0.099-0.11],1.000e-315,***,Other diseases of arteries and capillaries,Circulatory
L12_DISORDSKINAPPENDIX,424,0.101 [0.087-0.12],1.683e-38,***,Disorders of skin appendages,Skin
O15_PREG_OTHER_MAT_DISORD,1961,0.099 [0.090-0.11],1.844e-88,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
L12_CORNSANDCALLOS,491,0.099 [0.096-0.10],1.000e-315,***,Corns and callosities,Skin
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.095 [0.086-0.10],2.067e-94,***,Viral and other specified intestinal infections,Infectious and parasitic
ASTHMA_NAS,3913,0.094 [0.089-0.10],3.031e-290,***,"Asthma, unspecified (mode)",Respiratory
AB1_BACT_INTEST_OTH,357,0.093 [0.087-0.10],2.464e-233,***,Other bacterial intestinal infections,Infectious and parasitic
H7_CHALAZION,671,0.090 [0.084-0.10],9.478e-201,***,Chalazion,Eye and adnexa
M13_OSTEOPOROSIS,372,0.088 [0.079-0.10],4.344e-75,***,Osteoporosis,Musculoskeletal
