Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.202 [1.122-1.288],0.042,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.174 [1.120-1.231],8.144e-06,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-C%,403,1.170 [1.109-1.234],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
HDL-P,547,1.159 [1.098-1.223],0.018,*,Concentration of HDL Particles
Unsaturation,310,1.142 [1.106-1.179],1.825e-10,***,Degree of Unsaturation
DHA,289,1.131 [1.093-1.170],4.972e-07,***,Docosahexaenoic Acid
Omega-3%,215,1.111 [1.081-1.142],2.775e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,1.109 [1.078-1.142],4.736e-07,***,Omega-3 Fatty Acids
Omega-6/Omega-3,257,0.900 [0.875-0.927],1.814e-07,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.891 [0.853-0.931],0.060,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.860 [0.812-0.910],0.053,,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-PL%,489,0.849 [0.803-0.897],0.002,**,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,375,0.845 [0.795-0.898],0.015,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
