Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Tyr,120,1.341 [1.187-1.514],0.583,,Tyrosine
Ile,28,1.109 [0.806-1.527],1.000,,Isoleucine
XL-HDL-FC%,547,1.030 [0.952-1.115],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG,570,1.017 [0.920-1.124],1.000,,Triglycerides in Very Large VLDL
XL-HDL-CE,664,1.016 [0.979-1.053],1.000,,Cholesteryl Esters in Very Large HDL
LDL-PL,473,0.963 [0.816-1.137],1.000,,Phospholipids in LDL
S-LDL-CE,543,0.904 [0.758-1.079],1.000,,Cholesteryl Esters in Small LDL
M-VLDL-TG,613,0.886 [0.744-1.054],1.000,,Triglycerides in Medium VLDL
M-VLDL-L,589,0.854 [0.706-1.033],1.000,,Total-Lipids in Medium VLDL
S-VLDL-C,618,0.846 [0.717-0.999],1.000,,Cholesterol in Small VLDL
