Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-PL%,289,1.033 [0.979-1.091],1.000,,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-FC%,547,1.018 [0.978-1.059],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Gly,134,1.016 [0.964-1.070],1.000,,Glycine
Omega-3%,215,1.015 [0.987-1.043],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,687,1.003 [0.959-1.049],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-L,598,0.983 [0.945-1.022],1.000,,Total-Lipids in Very Large HDL
VLDL-PL,674,0.980 [0.937-1.025],1.000,,Phospholipids in VLDL
XL-HDL-PL%,441,0.978 [0.933-1.025],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C%,176,0.974 [0.902-1.051],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL,545,0.948 [0.904-0.995],1.000,,Phospholipids in Medium HDL
