Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Unsaturation,310,1.141 [0.961-1.354],1.000,,Degree of Unsaturation
Creatinine,126,1.123 [0.466-2.706],1.000,,Creatinine
HDL-P,547,1.116 [0.856-1.455],1.000,,Concentration of HDL Particles
HDL-PL,590,1.094 [0.872-1.371],1.000,,Phospholipids in HDL
XL-HDL-C%,306,1.078 [0.882-1.319],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-L,598,0.949 [0.780-1.156],1.000,,Total-Lipids in Very Large HDL
XXL-VLDL-P,529,0.923 [0.720-1.185],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
S-LDL-TG,690,0.804 [0.649-0.996],1.000,,Triglycerides in Small LDL
XL-VLDL-CE,617,0.686 [0.545-0.862],1.000,,Cholesteryl Esters in Very Large VLDL
M-VLDL-L,589,0.671 [0.530-0.850],1.000,,Total-Lipids in Medium VLDL
