Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.503 [1.279-1.766],0.183,,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-CE,617,1.412 [1.229-1.622],0.257,,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,614,1.409 [1.227-1.618],0.286,,Cholesteryl Esters in Large VLDL
S-VLDL-CE,626,1.379 [1.210-1.572],0.356,,Cholesteryl Esters in Small VLDL
L-VLDL-PL%,580,1.379 [1.217-1.564],0.123,,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-CE%,367,0.944 [0.838-1.064],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-FC%,491,0.934 [0.843-1.034],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-C,621,0.709 [0.619-0.811],0.144,,HDL Cholesterol
HDL-CE,611,0.703 [0.613-0.807],0.121,,Cholesteryl Esters in HDL
M-HDL-C,607,0.703 [0.606-0.815],0.762,,Cholesterol in Medium HDL
