Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-P,622,1.045 [0.947-1.153],1.000,,Concentration of Very Small VLDL Particles
IDL-PL,591,1.042 [0.930-1.167],1.000,,Phospholipids in IDL
VLDL-L,623,1.042 [0.919-1.181],1.000,,Total-Lipids in VLDL
M-VLDL-C,535,1.033 [0.908-1.175],1.000,,Cholesterol in Medium VLDL
L-LDL-C,488,1.002 [0.880-1.140],1.000,,Cholesterol in Large LDL
XS-VLDL-PL%,375,0.941 [0.799-1.109],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,580,0.939 [0.832-1.060],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-C%,558,0.920 [0.821-1.030],1.000,,Cholesterol to Total-Lipids in IDL percentage
Omega-6/Omega-3,257,0.824 [0.759-0.894],0.890,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.684 [0.589-0.793],0.139,,Linoleic Acid to Total-Fatty Acids percentage
