Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.143 [1.117-1.169],1.922e-24,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA%,371,1.130 [1.088-1.175],9.222e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,1.117 [1.098-1.136],1.378e-31,***,Degree of Unsaturation
DHA,289,1.113 [1.088-1.139],1.792e-14,***,Docosahexaenoic Acid
PUFA/MUFA,484,1.108 [1.078-1.139],3.921e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-C%,403,1.101 [1.068-1.135],2.058e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
Omega-3%,215,1.100 [1.080-1.121],4.194e-18,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,460,1.096 [1.065-1.128],9.690e-05,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3,420,1.089 [1.069-1.109],2.824e-14,***,Omega-3 Fatty Acids
SM,547,1.082 [1.054-1.111],0.001,**,Sphingomyelins
XS-VLDL-C%,642,1.075 [1.050-1.101],3.262e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,1.075 [1.050-1.100],3.684e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,574,1.073 [1.046-1.101],0.014,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,687,1.067 [1.041-1.093],0.039,*,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-FC%,609,1.060 [1.038-1.083],0.010,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
IDL-TG%,635,0.940 [0.920-0.962],0.019,*,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,661,0.928 [0.907-0.950],1.256e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,257,0.908 [0.891-0.924],8.179e-20,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.903 [0.882-0.925],1.404e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.876 [0.846-0.906],1.234e-08,***,Linoleic Acid to Total-Fatty Acids percentage
