Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-P,505,1.037 [1.007-1.067],1.000,,Concentration of IDL Particles
XS-VLDL-CE,620,1.035 [1.011-1.060],1.000,,Cholesteryl Esters in Very Small VLDL
L-LDL-C,488,1.034 [1.002-1.066],1.000,,Cholesterol in Large LDL
L-LDL-L,508,1.034 [1.002-1.066],1.000,,Total-Lipids in Large LDL
VLDL-CE,621,1.027 [0.998-1.058],1.000,,Cholesteryl Esters in VLDL
XXL-VLDL-P,529,0.995 [0.968-1.024],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-CE,621,0.989 [0.963-1.016],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Creatinine,126,0.952 [0.866-1.045],1.000,,Creatinine
GlycA,385,0.893 [0.851-0.937],0.989,,Glycoprotein Acetyls
Acetoacetate,15,0.861 [0.700-1.060],1.000,,Acetoacetate
