Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-C%,225,1.218 [1.155-1.285],8.677e-08,***,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,460,1.197 [1.141-1.255],2.337e-08,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC%,332,1.186 [1.122-1.253],3.928e-04,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA%,371,1.185 [1.125-1.249],4.203e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.143 [1.101-1.185],2.620e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,484,1.130 [1.084-1.178],0.002,**,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-PL%,382,1.122 [1.081-1.165],4.258e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-C%,642,1.119 [1.077-1.164],0.003,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
Unsaturation,310,1.117 [1.086-1.149],4.767e-09,***,Degree of Unsaturation
XS-VLDL-CE%,644,1.113 [1.070-1.157],0.016,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,687,1.109 [1.067-1.153],0.043,*,Free Cholesterol to Total-Lipids in Large LDL percentage
Omega-3%,215,1.092 [1.066-1.118],1.566e-07,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,1.091 [1.057-1.126],0.017,*,Docosahexaenoic Acid
Omega-6/Omega-3,257,0.922 [0.899-0.946],5.720e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-TG%,594,0.909 [0.877-0.941],0.022,*,Triglycerides to Total-Lipids in Small LDL percentage
IDL-TG%,635,0.907 [0.874-0.940],0.032,*,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,474,0.906 [0.873-0.940],0.037,*,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,661,0.888 [0.853-0.924],0.001,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,525,0.884 [0.851-0.918],4.816e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,444,0.866 [0.823-0.912],0.009,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
