Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.085 [1.057-1.114],1.839e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,510,1.076 [1.047-1.106],0.035,*,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-FC%,687,1.070 [1.046-1.094],0.001,**,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,484,1.065 [1.045-1.086],3.505e-05,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-FC%,578,1.063 [1.041-1.085],0.003,**,Free Cholesterol to Total-Lipids in Small LDL percentage
DHA%,240,1.051 [1.035-1.067],1.942e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,651,1.051 [1.032-1.070],0.034,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,310,1.048 [1.035-1.062],2.866e-07,***,Degree of Unsaturation
Omega-3%,215,1.035 [1.024-1.045],2.713e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,0.967 [0.957-0.977],2.656e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-CE,621,0.943 [0.924-0.963],0.006,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-TG,690,0.936 [0.916-0.956],4.029e-04,***,Triglycerides in Small LDL
MUFA%,525,0.936 [0.917-0.955],5.858e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,545,0.930 [0.906-0.955],0.012,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
MUFA,654,0.917 [0.895-0.939],5.182e-07,***,Monounsaturated Fatty Acids
LA,635,0.917 [0.895-0.939],5.616e-07,***,Linoleic Acid
GlycA,385,0.885 [0.851-0.921],4.628e-04,***,Glycoprotein Acetyls
