Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.104 [1.065-1.145],0.016,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.086 [1.055-1.118],0.006,**,Degree of Unsaturation
Omega-3%,215,1.068 [1.041-1.095],0.124,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-C%,395,1.050 [1.001-1.102],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-C,525,1.038 [0.968-1.114],1.000,,Cholesterol in Medium LDL
S-LDL-C%,261,0.969 [0.911-1.031],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
Tyr,120,0.964 [0.874-1.064],1.000,,Tyrosine
TG/PG,632,0.952 [0.910-0.996],1.000,,Triglycerides to Phosphoglycerides ratio
Omega-6/Omega-3,257,0.937 [0.913-0.962],0.352,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
3-Hydroxybutyrate,68,0.642 [0.547-0.754],0.014,*,3-Hydroxybutyrate
