Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-FC,474,1.012 [0.986-1.040],1.000,,Free Cholesterol in Large LDL
M-LDL-C,525,1.011 [0.983-1.040],1.000,,Cholesterol in Medium LDL
M-LDL-C%,225,1.008 [0.978-1.040],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-PL%,289,1.001 [0.977-1.026],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL,598,1.000 [0.981-1.020],1.000,,Phospholipids in Large HDL
Total-L,626,0.992 [0.965-1.020],1.000,,Total-Lipids in Lipoprotein Particles
Acetoacetate,15,0.982 [0.812-1.188],1.000,,Acetoacetate
M-HDL-CE,607,0.974 [0.948-1.000],1.000,,Cholesteryl Esters in Medium HDL
Ala,85,0.966 [0.909-1.027],1.000,,Alanine
S-HDL-PL,489,0.952 [0.921-0.984],1.000,,Phospholipids in Small HDL
