Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Gly,134,1.097 [1.055-1.140],0.825,,Glycine
Leu,36,1.032 [0.872-1.222],1.000,,Leucine
L-LDL-TG%,474,1.021 [0.996-1.045],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-FC%,687,1.017 [0.985-1.049],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
DHA%,240,1.011 [0.987-1.036],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-C,568,0.935 [0.909-0.962],0.790,,Cholesterol in IDL
LDL-PL,473,0.932 [0.905-0.960],0.611,,Phospholipids in LDL
M-LDL-FC,407,0.925 [0.898-0.954],0.097,,Free Cholesterol in Medium LDL
Omega-6,651,0.921 [0.892-0.951],0.098,,Omega-6 Fatty Acids
LA,635,0.921 [0.892-0.950],0.078,,Linoleic Acid
