Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.654 [1.444-1.894],9.674e-08,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.320 [1.238-1.407],5.703e-12,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,1.284 [1.172-1.406],0.019,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG%,661,1.064 [0.963-1.175],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-CE%,557,1.040 [0.949-1.141],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Omega-3,420,0.788 [0.737-0.843],1.399e-06,***,Omega-3 Fatty Acids
Omega-3%,215,0.764 [0.717-0.815],7.467e-11,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.747 [0.695-0.804],1.055e-09,***,Degree of Unsaturation
DHA,289,0.734 [0.675-0.799],1.417e-07,***,Docosahexaenoic Acid
DHA%,240,0.695 [0.634-0.763],4.704e-09,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
