Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-L,576,1.317 [1.102-1.574],1.000,,Total-Lipids in Medium HDL
S-LDL-PL%,510,1.290 [1.076-1.546],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-FC%,397,1.208 [0.965-1.512],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-FC,638,1.154 [1.000-1.331],1.000,,Free Cholesterol in Large HDL
Pyruvate,37,1.029 [0.435-2.435],1.000,,Pyruvate
IDL-PL%,289,0.924 [0.759-1.125],1.000,,Phospholipids to Total-Lipids in IDL percentage
L-LDL-L,508,0.922 [0.758-1.122],1.000,,Total-Lipids in Large LDL
MUFA%,525,0.888 [0.759-1.039],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-C,622,0.734 [0.621-0.867],1.000,,Cholesterol in Large VLDL
3-Hydroxybutyrate,68,0.317 [0.160-0.629],1.000,,3-Hydroxybutyrate
