Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.447 [1.086-1.927],1.000,,Isoleucine
XL-VLDL-L,578,1.044 [0.989-1.101],1.000,,Total-Lipids in Very Large VLDL
Tyr,120,1.038 [0.919-1.172],1.000,,Tyrosine
M-VLDL-TG,613,1.028 [0.977-1.082],1.000,,Triglycerides in Medium VLDL
M-HDL-TG,617,1.027 [0.985-1.070],1.000,,Triglycerides in Medium HDL
XL-HDL-C%,306,0.969 [0.929-1.011],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3,420,0.942 [0.911-0.973],1.000,,Omega-3 Fatty Acids
Remnant-C,577,0.941 [0.896-0.988],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-FC,410,0.931 [0.885-0.979],1.000,,Free Cholesterol in Small LDL
XS-VLDL-CE%,644,0.915 [0.871-0.961],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
