Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-PL%,398,1.105 [1.000-1.221],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-HDL-FC%,491,1.036 [0.976-1.100],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-C%,622,1.025 [0.944-1.112],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-FC,594,1.021 [0.937-1.113],1.000,,Free Cholesterol in Medium VLDL
M-VLDL-TG,613,1.003 [0.916-1.098],1.000,,Triglycerides in Medium VLDL
IDL-PL%,289,0.995 [0.894-1.107],1.000,,Phospholipids to Total-Lipids in IDL percentage
Omega-6,651,0.987 [0.905-1.076],1.000,,Omega-6 Fatty Acids
XXL-VLDL-CE,621,0.983 [0.901-1.072],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-LDL-TG%,474,0.950 [0.871-1.037],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-C%,436,0.918 [0.841-1.001],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
