Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-P,598,1.063 [1.013-1.116],1.000,,Concentration of Medium HDL Particles
M-HDL-PL,545,1.058 [1.006-1.113],1.000,,Phospholipids in Medium HDL
Omega-6,651,1.049 [1.004-1.097],1.000,,Omega-6 Fatty Acids
S-HDL-CE%,367,1.040 [1.006-1.075],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Gln,113,1.031 [0.954-1.114],1.000,,Glutamine
XL-VLDL-CE%,485,0.982 [0.932-1.034],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,687,0.978 [0.933-1.025],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-P,566,0.967 [0.932-1.004],1.000,,Concentration of Small LDL Particles
L-HDL-TG%,637,0.965 [0.930-1.003],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
Acetate,13,0.934 [0.650-1.340],1.000,,Acetate
