Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-C%,261,1.118 [1.070-1.167],0.107,,Cholesterol to Total-Lipids in Small LDL percentage
LA%,226,1.113 [1.071-1.158],0.019,*,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-PL%,382,1.093 [1.060-1.126],0.002,**,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-FC%,547,1.078 [1.047-1.110],0.114,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,257,1.075 [1.053-1.097],1.262e-06,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,215,0.931 [0.912-0.950],2.436e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.922 [0.903-0.942],1.214e-08,***,Omega-3 Fatty Acids
DHA,289,0.913 [0.888-0.939],3.564e-05,***,Docosahexaenoic Acid
M-HDL-L,576,0.905 [0.871-0.940],0.072,,Total-Lipids in Medium HDL
M-HDL-PL,545,0.901 [0.868-0.935],0.008,**,Phospholipids in Medium HDL
