Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.137 [0.937-1.379],1.000,,Valine
XL-HDL-FC,590,1.049 [1.020-1.077],1.000,,Free Cholesterol in Very Large HDL
L-HDL-FC,638,1.044 [1.017-1.072],1.000,,Free Cholesterol in Large HDL
XS-VLDL-FC%,460,1.030 [0.991-1.070],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-FC%,532,1.027 [1.000-1.055],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-P,622,0.926 [0.898-0.956],0.369,,Concentration of Large VLDL Particles
L-VLDL-FC,648,0.926 [0.897-0.955],0.219,,Free Cholesterol in Large VLDL
S-HDL-PL,489,0.904 [0.867-0.942],0.373,,Phospholipids in Small HDL
S-HDL-L,442,0.896 [0.858-0.935],0.151,,Total-Lipids in Small HDL
GlycA,385,0.867 [0.821-0.915],0.057,,Glycoprotein Acetyls
