Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.368 [1.010-1.853],1.000,,Histidine
M-VLDL-TG%,609,1.066 [0.995-1.141],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
HDL-size,600,1.039 [0.981-1.100],1.000,,Average Diameter for HDL Particles
PC,606,1.012 [0.951-1.076],1.000,,Phosphatidylcholines
PUFA/MUFA,484,1.006 [0.943-1.073],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
VLDL-L,623,0.995 [0.935-1.060],1.000,,Total-Lipids in VLDL
XL-VLDL-FC,610,0.987 [0.926-1.052],1.000,,Free Cholesterol in Very Large VLDL
Val,50,0.977 [0.673-1.418],1.000,,Valine
S-LDL-CE%,545,0.975 [0.914-1.040],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-C%,558,0.971 [0.912-1.033],1.000,,Cholesterol to Total-Lipids in IDL percentage
