Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-PL%,261,1.050 [0.992-1.110],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL,556,1.038 [0.994-1.084],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,639,1.018 [0.977-1.061],1.000,,Cholesterol in Very Large VLDL
XS-VLDL-FC%,460,1.015 [0.966-1.066],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-P,416,1.005 [0.951-1.062],1.000,,Concentration of Small HDL Particles
MUFA,654,0.988 [0.947-1.031],1.000,,Monounsaturated Fatty Acids
S-HDL-CE%,367,0.980 [0.946-1.015],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-PL,489,0.980 [0.928-1.035],1.000,,Phospholipids in Small HDL
Gly,134,0.952 [0.905-1.002],1.000,,Glycine
His,43,0.914 [0.759-1.100],1.000,,Histidine
