Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-C%,486,1.110 [1.068-1.154],0.030,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.109 [1.067-1.153],0.034,*,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,597,1.100 [1.064-1.138],0.004,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,1.093 [1.058-1.130],0.029,*,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,687,1.083 [1.050-1.116],0.078,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-TG,687,0.930 [0.904-0.957],0.097,,Triglycerides in Small VLDL
MUFA%,525,0.928 [0.903-0.955],0.064,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL,556,0.920 [0.891-0.950],0.075,,Phospholipids in Chylomicrons and Extremely Large VLDL
S-VLDL-TG%,564,0.918 [0.889-0.948],0.047,*,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,609,0.917 [0.887-0.948],0.054,,Triglycerides to Total-Lipids in Medium VLDL percentage
