Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.090 [1.062-1.118],1.538e-05,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.050 [1.036-1.063],5.190e-08,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-FC%,547,1.022 [1.001-1.042],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Gln,113,1.016 [0.975-1.059],1.000,,Glutamine
XXL-VLDL-PL%,261,1.012 [0.979-1.047],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,215,0.954 [0.942-0.966],1.102e-07,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.952 [0.937-0.968],5.880e-04,***,Degree of Unsaturation
Omega-3,420,0.940 [0.921-0.959],3.901e-04,***,Omega-3 Fatty Acids
DHA,289,0.939 [0.920-0.958],3.148e-04,***,Docosahexaenoic Acid
Cholines,620,0.922 [0.895-0.951],0.039,*,Total-Cholines
Total-L,626,0.921 [0.893-0.949],0.021,*,Total-Lipids in Lipoprotein Particles
Phosphoglyc,609,0.920 [0.893-0.948],0.014,*,Phosphoglycerides
Total-PL,628,0.919 [0.892-0.947],0.010,**,Total-Phospholipids in Lipoprotein Particles
MUFA,654,0.911 [0.881-0.942],0.015,*,Monounsaturated Fatty Acids
Omega-6,651,0.903 [0.875-0.931],3.984e-05,***,Omega-6 Fatty Acids
PUFA,699,0.901 [0.876-0.927],1.044e-07,***,Polyunsaturated Fatty Acids
Total-FA,654,0.898 [0.870-0.927],1.244e-05,***,Total-Fatty Acids
