Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-C%,527,1.059 [1.031-1.089],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
LDL-size,178,1.037 [0.964-1.116],1.000,,Average Diameter for LDL Particles
M-HDL-FC%,609,1.013 [0.988-1.039],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-PL,492,1.009 [0.981-1.038],1.000,,Phospholipids in Medium LDL
3-Hydroxybutyrate,68,1.002 [0.875-1.146],1.000,,3-Hydroxybutyrate
XL-VLDL-L,578,0.974 [0.946-1.003],1.000,,Total-Lipids in Very Large VLDL
L-HDL-PL%,508,0.972 [0.940-1.005],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-PL,489,0.968 [0.939-0.998],1.000,,Phospholipids in Small HDL
S-LDL-TG,690,0.961 [0.935-0.987],1.000,,Triglycerides in Small LDL
XS-VLDL-PL%,375,0.916 [0.883-0.951],0.963,,Phospholipids to Total-Lipids in Very Small VLDL percentage
