Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.235 [1.134-1.345],0.271,,Phospholipids to Total-Lipids in Small LDL percentage
Ala,85,1.091 [0.975-1.220],1.000,,Alanine
DHA%,240,1.064 [1.025-1.104],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.049 [1.015-1.084],1.000,,Degree of Unsaturation
XL-HDL-PL%,441,1.007 [0.967-1.049],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
PUFA,699,0.812 [0.759-0.869],4.126e-04,***,Polyunsaturated Fatty Acids
Total-FA,654,0.790 [0.734-0.851],9.089e-05,***,Total-Fatty Acids
MUFA,654,0.770 [0.714-0.831],4.918e-06,***,Monounsaturated Fatty Acids
S-HDL-FC,483,0.764 [0.692-0.844],0.029,*,Free Cholesterol in Small HDL
Omega-6,651,0.763 [0.707-0.823],7.274e-07,***,Omega-6 Fatty Acids
LA,635,0.737 [0.683-0.797],3.125e-09,***,Linoleic Acid
