Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.233 [1.147-1.325],0.003,**,Phospholipids to Total-Lipids in Small LDL percentage
IDL-FC%,332,1.125 [1.048-1.208],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-TG%,369,1.068 [1.014-1.124],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-C%,306,1.041 [0.990-1.094],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-FC%,609,1.030 [0.980-1.082],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
VLDL-C,644,0.851 [0.800-0.905],0.082,,VLDL Cholesterol
MUFA,654,0.835 [0.783-0.890],0.008,**,Monounsaturated Fatty Acids
Omega-6,651,0.835 [0.784-0.888],0.003,**,Omega-6 Fatty Acids
S-LDL-CE%,545,0.818 [0.763-0.876],0.002,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA,635,0.805 [0.755-0.858],7.080e-06,***,Linoleic Acid
