Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.435 [1.049-1.963],1.000,,Isoleucine
L-HDL-PL%,508,1.069 [1.006-1.135],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
Phe,17,1.031 [0.778-1.366],1.000,,Phenylalanine
M-HDL-L,576,1.026 [0.980-1.073],1.000,,Total-Lipids in Medium HDL
DHA,289,1.012 [0.977-1.048],1.000,,Docosahexaenoic Acid
L-LDL-PL,492,0.976 [0.929-1.026],1.000,,Phospholipids in Large LDL
M-LDL-C,525,0.975 [0.925-1.028],1.000,,Cholesterol in Medium LDL
IDL-P,505,0.967 [0.924-1.013],1.000,,Concentration of IDL Particles
XXL-VLDL-L,514,0.887 [0.845-0.931],0.379,,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,472,0.879 [0.835-0.925],0.202,,Triglycerides in Chylomicrons and Extremely Large VLDL
