Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-P,612,1.092 [1.008-1.184],1.000,,Concentration of Medium VLDL Particles
XL-VLDL-P,599,1.077 [0.984-1.179],1.000,,Concentration of Very Large VLDL Particles
XL-HDL-TG%,642,1.054 [0.965-1.151],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-L,531,1.019 [0.934-1.112],1.000,,Total-Lipids in Medium LDL
XL-HDL-FC%,547,1.018 [0.950-1.092],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-VLDL-C%,604,0.960 [0.880-1.048],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Acetate,13,0.945 [0.352-2.539],1.000,,Acetate
S-VLDL-C%,527,0.912 [0.839-0.992],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6%,366,0.845 [0.743-0.962],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,68,0.796 [0.595-1.063],1.000,,3-Hydroxybutyrate
