Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.036 [1.021-1.052],0.949,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,310,1.024 [1.014-1.034],0.363,,Degree of Unsaturation
DHA,289,1.017 [1.006-1.029],1.000,,Docosahexaenoic Acid
XL-HDL-C,653,1.011 [0.999-1.022],1.000,,Cholesterol in Very Large HDL
IDL-PL%,289,1.006 [0.992-1.021],1.000,,Phospholipids to Total-Lipids in IDL percentage
S-LDL-TG,690,0.966 [0.952-0.979],0.290,,Triglycerides in Small LDL
MUFA%,525,0.965 [0.951-0.978],0.108,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
ApoB/ApoA1,542,0.963 [0.949-0.976],0.027,*,Apolipoprotein B to Apolipoprotein A1 ratio
LA,635,0.961 [0.946-0.977],0.301,,Linoleic Acid
MUFA,654,0.959 [0.944-0.975],0.068,,Monounsaturated Fatty Acids
