Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Unsaturation,310,1.088 [1.039-1.139],1.000,,Degree of Unsaturation
L-HDL-C%,622,1.040 [0.978-1.107],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-C%,395,1.020 [0.951-1.094],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-C,607,1.005 [0.953-1.059],1.000,,Cholesterol in Medium HDL
Albumin,72,1.001 [0.825-1.215],1.000,,Albumin
XS-VLDL-PL,635,0.966 [0.925-1.008],1.000,,Phospholipids in Very Small VLDL
Non-HDL-C,563,0.950 [0.896-1.007],1.000,,Total-Cholesterol Minus HDL-C
IDL-CE,553,0.947 [0.898-0.999],1.000,,Cholesteryl Esters in IDL
M-VLDL-CE,487,0.935 [0.882-0.990],1.000,,Cholesteryl Esters in Medium VLDL
LA,635,0.862 [0.818-0.907],0.003,**,Linoleic Acid
