Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.090 [1.032-1.150],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LDL-size,178,1.069 [0.977-1.169],1.000,,Average Diameter for LDL Particles
L-HDL-CE%,562,1.064 [1.015-1.114],1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-CE,607,1.051 [1.000-1.105],1.000,,Cholesteryl Esters in Medium HDL
IDL-C%,558,1.040 [1.000-1.081],1.000,,Cholesterol to Total-Lipids in IDL percentage
VLDL-FC,630,0.896 [0.859-0.934],0.076,,Free Cholesterol in VLDL
M-VLDL-P,612,0.895 [0.858-0.934],0.074,,Concentration of Medium VLDL Particles
VLDL-C,644,0.885 [0.850-0.923],0.002,**,VLDL Cholesterol
LA,635,0.880 [0.840-0.922],0.022,*,Linoleic Acid
MUFA,654,0.877 [0.838-0.918],0.004,**,Monounsaturated Fatty Acids
