Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.178 [0.974-1.425],1.000,,Valine
S-HDL-L,442,1.155 [1.089-1.226],0.440,,Total-Lipids in Small HDL
M-HDL-TG,617,1.048 [1.002-1.096],1.000,,Triglycerides in Medium HDL
VLDL-FC,630,1.047 [0.996-1.101],1.000,,Free Cholesterol in VLDL
PC,606,1.016 [0.969-1.066],1.000,,Phosphatidylcholines
M-LDL-TG%,456,0.995 [0.948-1.044],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-PL%,382,0.990 [0.941-1.041],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
SM,547,0.975 [0.930-1.022],1.000,,Sphingomyelins
HDL-FC,599,0.966 [0.919-1.016],1.000,,Free Cholesterol in HDL
XL-HDL-PL,562,0.925 [0.882-0.970],1.000,,Phospholipids in Very Large HDL
