Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.056 [1.033-1.080],0.370,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.053 [1.035-1.071],0.002,**,Degree of Unsaturation
Omega-3,420,1.038 [1.022-1.055],0.784,,Omega-3 Fatty Acids
S-VLDL-PL%,600,1.014 [0.987-1.042],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-P,505,1.002 [0.976-1.028],1.000,,Concentration of IDL Particles
M-VLDL-P,612,0.999 [0.973-1.026],1.000,,Concentration of Medium VLDL Particles
M-LDL-TG,658,0.993 [0.972-1.015],1.000,,Triglycerides in Medium LDL
MUFA,654,0.993 [0.968-1.018],1.000,,Monounsaturated Fatty Acids
S-HDL-TG%,677,0.956 [0.934-0.979],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
MUFA%,525,0.942 [0.920-0.964],0.127,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
