Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.069 [0.970-1.179],1.000,,Concentration of HDL Particles
HDL-PL,590,1.063 [0.988-1.145],1.000,,Phospholipids in HDL
SFA%,94,1.051 [0.898-1.230],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,590,1.020 [0.982-1.058],1.000,,Free Cholesterol in Very Large HDL
M-VLDL-C%,604,1.020 [0.969-1.073],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,463,0.971 [0.885-1.067],1.000,,Clinical LDL Cholesterol
Remnant-C,577,0.944 [0.859-1.038],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-P,552,0.934 [0.852-1.024],1.000,,Concentration of LDL Particles
PUFA,699,0.920 [0.841-1.005],1.000,,Polyunsaturated Fatty Acids
Lactate,22,0.720 [0.290-1.787],1.000,,Lactate
