Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.093 [1.060-1.127],0.002,**,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,289,1.089 [1.061-1.117],2.086e-05,***,Docosahexaenoic Acid
Omega-3,420,1.088 [1.067-1.110],1.811e-11,***,Omega-3 Fatty Acids
PUFA,699,1.080 [1.052-1.108],0.001,**,Polyunsaturated Fatty Acids
Unsaturation,310,1.075 [1.048-1.102],0.003,**,Degree of Unsaturation
Omega-3%,215,1.073 [1.049-1.096],9.533e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,508,0.970 [0.937-1.004],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
Ala,85,0.967 [0.893-1.048],1.000,,Alanine
Total-BCAA,38,0.962 [0.847-1.092],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Omega-6/Omega-3,257,0.927 [0.907-0.947],2.766e-06,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.901 [0.865-0.939],0.184,,Linoleic Acid to Total-Fatty Acids percentage
