Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-FC,474,1.307 [1.219-1.402],1.171e-08,***,Free Cholesterol in Large LDL
M-LDL-FC,407,1.300 [1.207-1.401],1.332e-06,***,Free Cholesterol in Medium LDL
L-LDL-PL,492,1.297 [1.211-1.390],3.628e-08,***,Phospholipids in Large LDL
LDL-FC,411,1.297 [1.206-1.395],7.203e-07,***,Free Cholesterol in LDL
Clinical LDL-C,463,1.296 [1.208-1.390],1.381e-07,***,Clinical LDL Cholesterol
L-LDL-C,488,1.290 [1.205-1.381],4.948e-08,***,Cholesterol in Large LDL
LDL-C,476,1.285 [1.198-1.378],6.581e-07,***,LDL Cholesterol
LDL-PL,473,1.284 [1.198-1.375],3.212e-07,***,Phospholipids in LDL
L-LDL-CE,502,1.283 [1.198-1.374],2.107e-07,***,Cholesteryl Esters in Large LDL
IDL-CE,553,1.281 [1.202-1.364],4.205e-09,***,Cholesteryl Esters in IDL
L-LDL-L,508,1.279 [1.197-1.368],1.244e-07,***,Total-Lipids in Large LDL
S-LDL-FC,410,1.278 [1.192-1.369],8.556e-07,***,Free Cholesterol in Small LDL
M-LDL-PL,492,1.276 [1.190-1.368],1.893e-06,***,Phospholipids in Medium LDL
IDL-C,568,1.271 [1.195-1.353],8.565e-09,***,Cholesterol in IDL
LDL-L,502,1.267 [1.184-1.357],2.239e-06,***,Total-Lipids in LDL
LDL-CE,506,1.267 [1.183-1.357],3.754e-06,***,Cholesteryl Esters in LDL
Total-CE,575,1.261 [1.180-1.347],1.274e-06,***,Total-Esterified Cholesterol
M-LDL-C,525,1.261 [1.176-1.351],1.802e-05,***,Cholesterol in Medium LDL
Total-C,563,1.259 [1.178-1.345],2.586e-06,***,Total-Cholesterol
M-LDL-L,531,1.255 [1.171-1.344],2.151e-05,***,Total-Lipids in Medium LDL
IDL-FC,587,1.254 [1.180-1.333],9.963e-08,***,Free Cholesterol in IDL
IDL-P,505,1.253 [1.173-1.339],4.857e-06,***,Concentration of IDL Particles
S-LDL-C,489,1.251 [1.168-1.340],4.531e-05,***,Cholesterol in Small LDL
S-LDL-PL,409,1.249 [1.164-1.339],1.273e-04,***,Phospholipids in Small LDL
S-HDL-FC,483,1.247 [1.158-1.342],0.001,**,Free Cholesterol in Small HDL
M-LDL-CE,550,1.246 [1.162-1.335],1.222e-04,***,Cholesteryl Esters in Medium LDL
Total-FC,546,1.244 [1.165-1.329],1.933e-05,***,Total-Free Cholesterol
Non-HDL-C,563,1.243 [1.164-1.327],1.989e-05,***,Total-Cholesterol Minus HDL-C
S-LDL-CE,543,1.240 [1.159-1.326],1.070e-04,***,Cholesteryl Esters in Small LDL
IDL-L,573,1.239 [1.167-1.316],4.867e-07,***,Total-Lipids in IDL
M-LDL-P,508,1.238 [1.154-1.330],8.758e-04,***,Concentration of Medium LDL Particles
S-LDL-L,511,1.237 [1.158-1.321],6.992e-05,***,Total-Lipids in Small LDL
M-VLDL-CE,487,1.235 [1.150-1.327],0.002,**,Cholesteryl Esters in Medium VLDL
SM,547,1.224 [1.150-1.302],5.036e-05,***,Sphingomyelins
S-VLDL-C%,527,1.220 [1.140-1.306],0.003,**,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6,651,1.219 [1.144-1.299],2.578e-04,***,Omega-6 Fatty Acids
M-VLDL-PL%,523,1.218 [1.139-1.302],0.002,**,Phospholipids to Total-Lipids in Medium VLDL percentage
LDL-P,552,1.210 [1.134-1.290],0.002,**,Concentration of LDL Particles
L-LDL-P,541,1.210 [1.135-1.290],0.001,**,Concentration of Large LDL Particles
Remnant-C,577,1.207 [1.133-1.287],0.002,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-PL,628,1.207 [1.132-1.286],0.002,**,Total-Phospholipids in Lipoprotein Particles
S-VLDL-PL%,600,1.205 [1.135-1.280],2.457e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,574,1.205 [1.129-1.285],0.005,**,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-P,566,1.204 [1.129-1.284],0.005,**,Concentration of Small LDL Particles
S-VLDL-FC%,609,1.204 [1.133-1.278],4.039e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
ApoB,565,1.203 [1.130-1.281],0.002,**,Apolipoprotein B
XS-VLDL-CE%,644,1.201 [1.133-1.273],1.654e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-P,531,1.198 [1.125-1.275],0.004,**,Total-Concentration of Lipoprotein Particles
PUFA,699,1.196 [1.131-1.265],1.015e-04,***,Polyunsaturated Fatty Acids
IDL-PL,591,1.193 [1.126-1.265],5.065e-04,***,Phospholipids in IDL
Total-L,626,1.193 [1.119-1.271],0.013,*,Total-Lipids in Lipoprotein Particles
XS-VLDL-C%,642,1.190 [1.123-1.260],9.598e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,1.186 [1.114-1.263],0.026,*,Cholesterol to Total-Lipids in Medium VLDL percentage
Cholines,620,1.185 [1.113-1.262],0.025,*,Total-Cholines
ApoB/ApoA1,542,1.183 [1.111-1.260],0.034,*,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-C%,558,1.156 [1.095-1.221],0.040,*,Cholesterol to Total-Lipids in IDL percentage
IDL-TG%,635,0.859 [0.815-0.906],0.006,**,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,661,0.846 [0.799-0.896],0.003,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.833 [0.779-0.889],0.013,*,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.815 [0.762-0.871],3.743e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
XL-VLDL-TG%,444,0.810 [0.749-0.876],0.036,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
