Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-TG,617,1.017 [1.007-1.027],1.000,,Triglycerides in Medium HDL
Val,50,1.015 [0.963-1.070],1.000,,Valine
Total-FA,654,1.011 [0.999-1.023],1.000,,Total-Fatty Acids
ApoA1,587,1.003 [0.991-1.016],1.000,,Apolipoprotein A1
L-HDL-FC,638,1.001 [0.991-1.012],1.000,,Free Cholesterol in Large HDL
L-LDL-CE%,344,0.999 [0.983-1.014],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-VLDL-PL%,600,0.995 [0.983-1.008],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-PL%,271,0.991 [0.976-1.007],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Glu,32,0.990 [0.901-1.087],1.000,,Glucose
Acetate,13,0.921 [0.802-1.058],1.000,,Acetate
