Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.100 [0.967-1.251],1.000,,Valine
S-HDL-PL%,367,1.009 [0.979-1.040],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
Omega-3,420,1.006 [0.988-1.025],1.000,,Omega-3 Fatty Acids
XXL-VLDL-CE%,176,1.006 [0.962-1.053],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-FC%,687,1.004 [0.975-1.034],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-TG,617,0.993 [0.968-1.018],1.000,,Triglycerides in Medium HDL
S-VLDL-TG,687,0.986 [0.959-1.014],1.000,,Triglycerides in Small VLDL
Total-TG,641,0.984 [0.954-1.015],1.000,,Total-Triglycerides
XL-VLDL-TG%,444,0.977 [0.938-1.017],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
LDL-L,502,0.956 [0.926-0.986],1.000,,Total-Lipids in LDL
