Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-FC%,578,1.406 [1.220-1.622],0.638,,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,651,1.359 [1.172-1.576],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,371,1.348 [1.103-1.649],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-C%,558,1.291 [1.124-1.483],1.000,,Cholesterol to Total-Lipids in IDL percentage
DHA%,240,1.063 [0.923-1.224],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE,621,0.669 [0.576-0.778],0.042,*,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,687,0.669 [0.578-0.775],0.018,*,Triglycerides in Small VLDL
S-LDL-TG,690,0.669 [0.578-0.774],0.016,*,Triglycerides in Small LDL
Total-TG,641,0.661 [0.565-0.775],0.071,,Total-Triglycerides
VLDL-TG,582,0.654 [0.558-0.768],0.046,*,Triglycerides in VLDL
