Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.074 [1.052-1.098],1.106e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.065 [1.046-1.085],3.442e-06,***,Degree of Unsaturation
DHA,289,1.057 [1.036-1.078],0.008,**,Docosahexaenoic Acid
Omega-3%,215,1.055 [1.038-1.071],8.796e-06,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-PL%,580,1.003 [0.975-1.032],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-PL,637,0.981 [0.948-1.014],1.000,,Phospholipids in Large VLDL
M-HDL-PL%,489,0.978 [0.945-1.013],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
HDL-P,547,0.967 [0.931-1.004],1.000,,Concentration of HDL Particles
Omega-6/Omega-3,257,0.947 [0.932-0.963],1.622e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.906 [0.877-0.936],5.303e-04,***,Linoleic Acid to Total-Fatty Acids percentage
