Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.088 [1.051-1.126],0.391,,Phospholipids to Total-Lipids in Small LDL percentage
DHA,289,1.020 [0.998-1.042],1.000,,Docosahexaenoic Acid
XL-HDL-PL%,441,1.016 [0.992-1.040],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-CE,664,1.009 [0.987-1.031],1.000,,Cholesteryl Esters in Very Large HDL
S-VLDL-C%,527,1.004 [0.978-1.031],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-TG,567,0.983 [0.956-1.009],1.000,,Triglycerides in Large VLDL
L-VLDL-PL,637,0.979 [0.954-1.003],1.000,,Phospholipids in Large VLDL
S-HDL-FC,483,0.929 [0.891-0.969],1.000,,Free Cholesterol in Small HDL
MUFA,654,0.928 [0.900-0.957],0.570,,Monounsaturated Fatty Acids
S-LDL-CE%,545,0.921 [0.892-0.951],0.156,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
