Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-C,535,1.117 [1.068-1.168],0.270,,Cholesterol in Medium VLDL
LDL-CE,506,1.112 [1.063-1.163],0.763,,Cholesteryl Esters in LDL
IDL-C,568,1.109 [1.061-1.158],0.904,,Cholesterol in IDL
Unsaturation,310,1.071 [1.041-1.101],0.488,,Degree of Unsaturation
Omega-3%,215,1.068 [1.040-1.096],0.261,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,651,0.991 [0.953-1.031],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Creatinine,126,0.985 [0.856-1.133],1.000,,Creatinine
L-VLDL-PL%,580,0.971 [0.938-1.006],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-CE%,367,0.961 [0.930-0.993],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,0.935 [0.911-0.960],0.125,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
