Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.034 [0.915-1.169],1.000,,Valine
IDL-C%,558,1.030 [0.998-1.064],1.000,,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-CE%,176,1.008 [0.962-1.056],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,225,1.005 [0.959-1.054],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-size,600,1.003 [0.978-1.029],1.000,,Average Diameter for HDL Particles
Total-FA,654,0.918 [0.887-0.950],0.283,,Total-Fatty Acids
Omega-6,651,0.915 [0.883-0.948],0.269,,Omega-6 Fatty Acids
MUFA,654,0.913 [0.881-0.945],0.073,,Monounsaturated Fatty Acids
LA,635,0.906 [0.874-0.940],0.033,*,Linoleic Acid
GlycA,385,0.850 [0.800-0.903],0.034,*,Glycoprotein Acetyls
