Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA,289,1.427 [1.227-1.659],0.935,,Docosahexaenoic Acid
Unsaturation,310,1.422 [1.236-1.635],0.201,,Degree of Unsaturation
Omega-3,420,1.398 [1.234-1.584],0.034,*,Omega-3 Fatty Acids
XS-VLDL-FC,612,1.176 [1.016-1.361],1.000,,Free Cholesterol in Very Small VLDL
L-HDL-PL%,508,1.004 [0.814-1.237],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-VLDL-PL,637,0.972 [0.822-1.149],1.000,,Phospholipids in Large VLDL
XL-HDL-CE%,259,0.947 [0.788-1.138],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-VLDL-L,578,0.904 [0.761-1.074],1.000,,Total-Lipids in Very Large VLDL
S-VLDL-TG%,564,0.879 [0.733-1.055],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
TG/PG,632,0.863 [0.721-1.032],1.000,,Triglycerides to Phosphoglycerides ratio
