Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Creatinine,126,1.295 [1.090-1.538],1.000,,Creatinine
Phe,17,1.061 [0.819-1.375],1.000,,Phenylalanine
XS-VLDL-TG%,661,1.036 [0.997-1.077],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG,687,1.019 [0.980-1.060],1.000,,Triglycerides in Small VLDL
L-VLDL-PL%,580,1.004 [0.967-1.042],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-FC%,532,0.975 [0.945-1.006],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
Phosphoglyc,609,0.963 [0.924-1.002],1.000,,Phosphoglycerides
S-HDL-C%,436,0.955 [0.921-0.989],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
LDL-size,178,0.898 [0.807-1.000],1.000,,Average Diameter for LDL Particles
Leu,36,0.668 [0.432-1.033],1.000,,Leucine
