Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.192 [1.116-1.273],0.037,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.168 [1.115-1.223],1.682e-05,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,484,1.160 [1.106-1.217],3.067e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,310,1.156 [1.113-1.200],9.318e-09,***,Degree of Unsaturation
DHA,289,1.144 [1.102-1.188],5.184e-07,***,Docosahexaenoic Acid
Omega-3%,215,1.122 [1.086-1.158],4.295e-07,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,1.104 [1.070-1.139],1.044e-04,***,Omega-3 Fatty Acids
XL-VLDL-C,639,0.899 [0.861-0.938],0.282,,Cholesterol in Very Large VLDL
XL-VLDL-PL,607,0.898 [0.859-0.938],0.371,,Phospholipids in Very Large VLDL
Omega-6/Omega-3,257,0.894 [0.866-0.923],1.714e-06,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,0.877 [0.841-0.915],4.171e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.815 [0.767-0.866],8.731e-06,***,Linoleic Acid to Total-Fatty Acids percentage
