Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
SFA%,94,1.413 [1.036-1.927],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Gln,113,1.177 [0.970-1.428],1.000,,Glutamine
S-VLDL-PL%,600,1.007 [0.896-1.132],1.000,,Phospholipids to Total-Lipids in Small VLDL percentage
S-HDL-PL%,367,1.007 [0.897-1.129],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-VLDL-C%,527,1.004 [0.894-1.128],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-C,568,0.909 [0.814-1.014],1.000,,Cholesterol in IDL
M-VLDL-TG,613,0.893 [0.799-0.998],1.000,,Triglycerides in Medium VLDL
VLDL-P,640,0.890 [0.804-0.986],1.000,,Concentration of VLDL Particles
MUFA,654,0.886 [0.795-0.987],1.000,,Monounsaturated Fatty Acids
S-LDL-FC,410,0.884 [0.796-0.983],1.000,,Free Cholesterol in Small LDL
