Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.089 [0.834-1.423],1.000,,Valine
M-VLDL-C%,604,1.027 [0.967-1.091],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-CE%,259,1.022 [0.951-1.098],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-PL%,261,1.009 [0.929-1.097],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C,671,1.009 [0.958-1.062],1.000,,Cholesterol in Large HDL
ApoA1,587,0.942 [0.876-1.013],1.000,,Apolipoprotein A1
Total-TG,641,0.917 [0.863-0.975],1.000,,Total-Triglycerides
S-HDL-PL,489,0.875 [0.798-0.961],1.000,,Phospholipids in Small HDL
L-LDL-CE%,344,0.812 [0.746-0.884],0.364,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
GlycA,385,0.702 [0.630-0.783],4.920e-05,***,Glycoprotein Acetyls
