Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetate,13,2.566 [0.955-6.897],1.000,,Acetate
Tyr,120,1.572 [1.117-2.211],1.000,,Tyrosine
Ala,85,1.175 [0.862-1.601],1.000,,Alanine
L-VLDL-PL,637,1.037 [0.928-1.158],1.000,,Phospholipids in Large VLDL
XXL-VLDL-C,589,1.005 [0.898-1.125],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
HDL-size,600,0.966 [0.883-1.055],1.000,,Average Diameter for HDL Particles
L-HDL-FC%,532,0.924 [0.831-1.027],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C%,642,0.906 [0.804-1.021],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6,651,0.858 [0.766-0.961],1.000,,Omega-6 Fatty Acids
DHA%,240,0.831 [0.745-0.928],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
