Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
DHA%,240,1.162 [1.101-1.227],0.013,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,289,1.151 [1.100-1.204],2.241e-04,***,Docosahexaenoic Acid
Omega-3,420,1.133 [1.095-1.172],1.403e-07,***,Omega-3 Fatty Acids
Unsaturation,310,1.132 [1.084-1.182],0.005,**,Degree of Unsaturation
Omega-3%,215,1.122 [1.078-1.169],0.007,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-C,568,0.988 [0.932-1.047],1.000,,Cholesterol in IDL
XL-HDL-TG%,642,0.956 [0.903-1.013],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-C,639,0.945 [0.892-1.001],1.000,,Cholesterol in Very Large VLDL
Omega-6/Omega-3,257,0.887 [0.852-0.924],0.002,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.787 [0.730-0.848],9.250e-05,***,Linoleic Acid to Total-Fatty Acids percentage
